epoch,lr,step,test_acc,test_acc_top5,test_ece,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_ece_epoch,train_ece_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_ece,val_loss
0,,14,,,,,0.4182291626930237,,1.0,,0.14726682007312775,,1.2315622568130493,,,,,
1,,29,,,,,0.5598958134651184,,1.0,,0.14680376648902893,,1.0229631662368774,,,,,
2,,44,,,,,0.5859375,,1.0,,0.1469898372888565,,0.9855530261993408,,,,,
3,0.20579999685287476,49,,,,,,0.578125,,1.0,,0.10213236510753632,,0.920417070388794,,,,
3,,49,0.5107886791229248,1.0,0.1754184365272522,1.082316517829895,,,,,,,,,0.7149999737739563,1.0,0.20487423241138458,0.7383719682693481
3,,59,,,,,0.5822916626930237,,1.0,,0.13752491772174835,,0.9454925060272217,,,,,
4,,74,,,,,0.5744791626930237,,1.0,,0.13674739003181458,,0.9536961317062378,,,,,
5,,89,,,,,0.629687488079071,,1.0,,0.13682886958122253,,0.8948346972465515,,,,,
6,0.415800005197525,99,,,,,,0.46875,,1.0,,0.1687203347682953,,0.9959070086479187,,,,
6,,99,0.5225074291229248,1.0,0.20012812316417694,1.0803419351577759,,,,,,,,,0.7250000238418579,1.0,0.16235731542110443,0.696277379989624
6,,104,,,,,0.6088541746139526,,1.0,,0.14776508510112762,,0.8984166383743286,,,,,
7,,119,,,,,0.609375,,1.0,,0.13392119109630585,,0.8810158967971802,,,,,
8,,134,,,,,0.6291666626930237,,1.0,,0.13589739799499512,,0.8689348101615906,,,,,
9,0.6258000135421753,149,,,,,,0.703125,,1.0,,0.17867974936962128,,0.7620319724082947,,,,
9,,149,0.5552455186843872,1.0,0.20178665220737457,1.044577717781067,,,,,,,,,0.7450000047683716,1.0,0.1327284574508667,0.6102931499481201
9,,149,,,,,0.6307291388511658,,1.0,,0.12864534556865692,,0.8784616589546204,,,,,
10,,164,,,,,0.6312500238418579,,1.0,,0.13115882873535156,,0.8457913994789124,,,,,
11,,179,,,,,0.6520833373069763,,1.0,,0.13126620650291443,,0.8395052552223206,,,,,
12,,194,,,,,0.6369791626930237,,1.0,,0.14075620472431183,,0.845353901386261,,,,,
13,0.8357999920845032,199,,,,,,0.671875,,1.0,,0.12561777234077454,,0.7625961303710938,,,,
13,,199,0.5695684552192688,1.0,0.18031740188598633,1.0304902791976929,,,,,,,,,0.7799999713897705,1.0,0.1493140161037445,0.5778161883354187
13,,209,,,,,0.6322916746139526,,1.0,,0.16574788093566895,,0.8455154299736023,,,,,
14,,224,,,,,0.6416666507720947,,1.0,,0.13915595412254333,,0.8298022150993347,,,,,
15,,239,,,,,0.6317708492279053,,1.0,,0.14763842523097992,,0.8501660823822021,,,,,
16,1.045799970626831,249,,,,,,0.71875,,1.0,,0.20824067294597626,,0.7539845108985901,,,,
16,,249,0.5708705186843872,1.0,0.18147824704647064,1.057104229927063,,,,,,,,,0.8149999976158142,1.0,0.17144142091274261,0.5493432283401489
16,,254,,,,,0.6640625,,1.0,,0.1489265114068985,,0.7968775629997253,,,,,
17,,269,,,,,0.6546875238418579,,1.0,,0.13578586280345917,,0.7986884713172913,,,,,
18,,284,,,,,0.6468750238418579,,1.0,,0.1411190629005432,,0.8285377621650696,,,,,
19,1.2558000087738037,299,,,,,,0.65625,,1.0,,0.18744514882564545,,0.8353604674339294,,,,
19,,299,0.6011905074119568,1.0,0.19201518595218658,1.0185920000076294,,,,,,,,,0.8050000071525574,1.0,0.13398461043834686,0.5271766185760498
19,,299,,,,,0.6625000238418579,,1.0,,0.14859873056411743,,0.8017672300338745,,,,,
20,,314,,,,,0.6760416626930237,,1.0,,0.14212393760681152,,0.7730200886726379,,,,,
21,,329,,,,,0.6848958134651184,,1.0,,0.13969381153583527,,0.7884809374809265,,,,,
22,,344,,,,,0.6656249761581421,,1.0,,0.13987216353416443,,0.7854496240615845,,,,,
23,1.4658000469207764,349,,,,,,0.71875,,1.0,,0.08552683889865875,,0.7008188962936401,,,,
23,,349,0.6194196343421936,1.0,0.1708621233701706,1.0032790899276733,,,,,,,,,0.8700000047683716,1.0,0.2158896028995514,0.4810645580291748
23,,359,,,,,0.6625000238418579,,1.0,,0.12493839114904404,,0.7908288240432739,,,,,
24,,374,,,,,0.6703125238418579,,1.0,,0.15150009095668793,,0.7801384329795837,,,,,
25,,389,,,,,0.7109375,,1.0,,0.13895045220851898,,0.7206017971038818,,,,,
26,1.6757999658584595,399,,,,,,0.640625,,1.0,,0.11760646849870682,,0.7845207452774048,,,,
26,,399,0.613095223903656,1.0,0.17717428505420685,1.032087802886963,,,,,,,,,0.8399999737739563,1.0,0.15751522779464722,0.4650103449821472
26,,404,,,,,0.6880208253860474,,1.0,,0.1336151659488678,,0.7425032258033752,,,,,
27,,419,,,,,0.7130208611488342,,1.0,,0.1335805505514145,,0.6997050642967224,,,,,
28,,434,,,,,0.734375,,1.0,,0.1275370568037033,,0.6663722395896912,,,,,
29,1.8858000040054321,449,,,,,,0.671875,,1.0,,0.12241938710212708,,0.7666696310043335,,,,
29,,449,0.6023065447807312,1.0,0.19680781662464142,1.0351945161819458,,,,,,,,,0.875,1.0,0.13981439173221588,0.4201916456222534
29,,449,,,,,0.699999988079071,,1.0,,0.1411018967628479,,0.7247346639633179,,,,,
30,,464,,,,,0.699999988079071,,1.0,,0.12395619601011276,,0.7160502076148987,,,,,
31,,479,,,,,0.7151041626930237,,1.0,,0.1243654191493988,,0.689311683177948,,,,,
32,,494,,,,,0.7541666626930237,,1.0,,0.12513695657253265,,0.6380614042282104,,,,,
33,2.0957999229431152,499,,,,,,0.703125,,1.0,,0.07115303725004196,,0.6095209717750549,,,,
33,,499,0.6361607313156128,1.0,0.18281733989715576,0.974445104598999,,,,,,,,,0.9100000262260437,1.0,0.16996274888515472,0.3806822896003723
33,,509,,,,,0.7520833611488342,,1.0,,0.13434836268424988,,0.6307896375656128,,,,,
34,,524,,,,,0.7385416626930237,,1.0,,0.11929630488157272,,0.6350062489509583,,,,,
35,,539,,,,,0.7494791746139526,,1.0,,0.11613474041223526,,0.6292685270309448,,,,,
36,2.0980100631713867,549,,,,,,0.578125,,1.0,,0.1608526110649109,,0.7775477170944214,,,,
36,,549,0.6465774178504944,1.0,0.1601995825767517,0.9196071624755859,,,,,,,,,0.8799999952316284,1.0,0.14123544096946716,0.3865608870983124
36,,554,,,,,0.7338541746139526,,1.0,,0.12069112807512283,,0.6377640962600708,,,,,
37,,569,,,,,0.7578125,,1.0,,0.12011183798313141,,0.6205825209617615,,,,,
38,,584,,,,,0.7677083611488342,,1.0,,0.12845180928707123,,0.5923926830291748,,,,,
39,2.0918850898742676,599,,,,,,0.78125,,1.0,,0.11663112044334412,,0.5218347907066345,,,,
39,,599,0.6662946343421936,1.0,0.18321388959884644,0.9048251509666443,,,,,,,,,0.8799999952316284,1.0,0.10454799979925156,0.34615108370780945
39,,599,,,,,0.7505208253860474,,1.0,,0.11359118670225143,,0.6235500574111938,,,,,
40,,614,,,,,0.7718750238418579,,1.0,,0.12139187008142471,,0.5849524140357971,,,,,
41,,629,,,,,0.760937511920929,,1.0,,0.12508466839790344,,0.5865047574043274,,,,,
42,,644,,,,,0.7604166865348816,,1.0,,0.12048903107643127,,0.5892369747161865,,,,,
43,2.081648111343384,649,,,,,,0.703125,,1.0,,0.11774474382400513,,0.5960941314697266,,,,
43,,649,0.6702008843421936,1.0,0.17220847308635712,0.9145460724830627,,,,,,,,,0.8999999761581421,1.0,0.12262517958879471,0.33307141065597534
43,,659,,,,,0.7614583373069763,,1.0,,0.1274278610944748,,0.5753509998321533,,,,,
44,,674,,,,,0.7791666388511658,,1.0,,0.11210571229457855,,0.575699508190155,,,,,
45,,689,,,,,0.785937488079071,,1.0,,0.12262119352817535,,0.5734281539916992,,,,,
46,2.0673396587371826,699,,,,,,0.78125,,1.0,,0.11632626503705978,,0.5077456831932068,,,,
46,,699,0.6675967574119568,1.0,0.16914422810077667,0.8864404559135437,,,,,,,,,0.8899999856948853,1.0,0.10683881491422653,0.3051893711090088
46,,704,,,,,0.7885416746139526,,1.0,,0.1105143204331398,,0.5392264127731323,,,,,
47,,719,,,,,0.7807291746139526,,1.0,,0.12224172800779343,,0.5686424374580383,,,,,
48,,734,,,,,0.7848958373069763,,1.0,,0.12289751321077347,,0.5705000162124634,,,,,
49,2.049016237258911,749,,,,,,0.65625,,1.0,,0.1426498293876648,,0.7338675260543823,,,,
49,,749,0.6806175708770752,1.0,0.16584713757038116,0.8605471253395081,,,,,,,,,0.8999999761581421,1.0,0.08367828279733658,0.2955304980278015
49,,749,,,,,0.7713541388511658,,1.0,,0.1125703677535057,,0.5652675628662109,,,,,
50,,764,,,,,0.770312488079071,,1.0,,0.12013278901576996,,0.552272379398346,,,,,
51,,779,,,,,0.7739583253860474,,1.0,,0.11818671971559525,,0.5508891940116882,,,,,
52,,794,,,,,0.7869791388511658,,1.0,,0.11538804322481155,,0.5352285504341125,,,,,
53,2.026750326156616,799,,,,,,0.828125,,1.0,,0.12333953380584717,,0.5081889033317566,,,,
53,,799,0.6975446343421936,1.0,0.1614724099636078,0.8694846034049988,,,,,,,,,0.9100000262260437,1.0,0.09073249995708466,0.26051056385040283
53,,809,,,,,0.7744791507720947,,1.0,,0.11304200440645218,,0.5537556409835815,,,,,
54,,824,,,,,0.7848958373069763,,1.0,,0.11771965026855469,,0.5159556269645691,,,,,
55,,839,,,,,0.7979166507720947,,1.0,,0.11260910332202911,,0.5073363780975342,,,,,
56,2.000629425048828,849,,,,,,0.796875,,1.0,,0.09892960637807846,,0.48257017135620117,,,,
56,,849,0.6871280074119568,1.0,0.1561579555273056,0.8587815761566162,,,,,,,,,0.9100000262260437,1.0,0.0983857810497284,0.273547887802124
56,,854,,,,,0.8046875,,1.0,,0.12100072205066681,,0.5072914958000183,,,,,
57,,869,,,,,0.7953125238418579,,1.0,,0.10657476633787155,,0.5183208584785461,,,,,
58,,884,,,,,0.7791666388511658,,1.0,,0.11895062774419785,,0.5343778133392334,,,,,
59,1.9707568883895874,899,,,,,,0.8125,,1.0,,0.14320328831672668,,0.5277635455131531,,,,
59,,899,0.7014508843421936,1.0,0.16711682081222534,0.8495520949363708,,,,,,,,,0.9200000166893005,1.0,0.09365214407444,0.26115691661834717
59,,899,,,,,0.7885416746139526,,1.0,,0.11484713852405548,,0.521228551864624,,,,,
60,,914,,,,,0.800000011920929,,1.0,,0.10642936825752258,,0.4921073913574219,,,,,
61,,929,,,,,0.823437511920929,,1.0,,0.12104102224111557,,0.4975425601005554,,,,,
62,,944,,,,,0.7911458611488342,,1.0,,0.10968434810638428,,0.504950761795044,,,,,
63,1.9372506141662598,949,,,,,,0.75,,1.0,,0.11557444930076599,,0.5578866004943848,,,,
63,,949,0.7315847873687744,1.0,0.12990151345729828,0.8144477009773254,,,,,,,,,0.9350000023841858,1.0,0.1039460077881813,0.2418789118528366
63,,959,,,,,0.7895833253860474,,1.0,,0.11008188873529434,,0.5111889243125916,,,,,
64,,974,,,,,0.807812511920929,,1.0,,0.10533343255519867,,0.4832014739513397,,,,,
65,,989,,,,,0.8088541626930237,,1.0,,0.12144962698221207,,0.4701906144618988,,,,,
66,1.9002426862716675,999,,,,,,0.765625,,1.0,,0.1280692219734192,,0.5635846257209778,,,,
66,,999,0.7237722873687744,1.0,0.1287364810705185,0.8070721626281738,,,,,,,,,0.9300000071525574,1.0,0.09824542701244354,0.24363617599010468
66,,1004,,,,,0.8135416507720947,,1.0,,0.10597460716962814,,0.47309187054634094,,,,,
67,,1019,,,,,0.8140624761581421,,1.0,,0.1058756411075592,,0.4787978529930115,,,,,
68,,1034,,,,,0.8109375238418579,,1.0,,0.10930052399635315,,0.4796753525733948,,,,,
69,1.8598793745040894,1049,,,,,,0.8125,,1.0,,0.07035396993160248,,0.3921104967594147,,,,
69,,1049,0.7433035373687744,1.0,0.13585565984249115,0.8040895462036133,,,,,,,,,0.9300000071525574,1.0,0.07682617753744125,0.23240022361278534
69,,1049,,,,,0.7994791865348816,,1.0,,0.11261659115552902,,0.4892370104789734,,,,,
70,,1064,,,,,0.8005208373069763,,1.0,,0.11614861339330673,,0.4872443377971649,,,,,
71,,1079,,,,,0.8135416507720947,,1.0,,0.11293389648199081,,0.47753721475601196,,,,,
72,,1094,,,,,0.8307291865348816,,1.0,,0.1057107076048851,,0.4416033625602722,,,,,
73,1.8163197040557861,1099,,,,,,0.765625,,1.0,,0.13629929721355438,,0.4676220118999481,,,,
73,,1099,0.6923363208770752,1.0,0.1678849458694458,0.8624794483184814,,,,,,,,,0.9449999928474426,1.0,0.08950547128915787,0.23151282966136932
73,,1109,,,,,0.8401041626930237,,1.0,,0.11265125125646591,,0.4453970789909363,,,,,
74,,1124,,,,,0.8119791746139526,,1.0,,0.11287625133991241,,0.4658059775829315,,,,,
75,,1139,,,,,0.8223958611488342,,1.0,,0.1139615997672081,,0.45407772064208984,,,,,
76,1.7697356939315796,1149,,,,,,0.8125,,1.0,,0.15859967470169067,,0.46646785736083984,,,,
76,,1149,0.7433035373687744,1.0,0.15790176391601562,0.8152714371681213,,,,,,,,,0.925000011920929,1.0,0.07080484181642532,0.2204829603433609
76,,1154,,,,,0.8223958611488342,,1.0,,0.11717000603675842,,0.4573614299297333,,,,,
77,,1169,,,,,0.8166666626930237,,1.0,,0.10155627876520157,,0.4680224061012268,,,,,
78,,1184,,,,,0.823437511920929,,1.0,,0.09798236191272736,,0.4585835337638855,,,,,
79,1.7203112840652466,1199,,,,,,0.734375,,1.0,,0.13563981652259827,,0.6634072661399841,,,,
79,,1199,0.7328868508338928,1.0,0.1576404571533203,0.826972484588623,,,,,,,,,0.9300000071525574,1.0,0.07701525092124939,0.20437946915626526
79,,1199,,,,,0.7984374761581421,,1.0,,0.1116962879896164,,0.47935110330581665,,,,,
80,,1214,,,,,0.8161458373069763,,1.0,,0.11190201342105865,,0.4651935398578644,,,,,
81,,1229,,,,,0.8369791507720947,,1.0,,0.10710663348436356,,0.4326648414134979,,,,,
82,,1244,,,,,0.8416666388511658,,1.0,,0.10096648335456848,,0.4042424261569977,,,,,
83,1.6682415008544922,1249,,,,,,0.84375,,1.0,,0.13492028415203094,,0.4457118511199951,,,,
83,,1249,0.745907723903656,1.0,0.14913110435009003,0.8288962841033936,,,,,,,,,0.9350000023841858,1.0,0.06293757259845734,0.19872359931468964
83,,1259,,,,,0.8333333134651184,,1.0,,0.11637751013040543,,0.42444345355033875,,,,,
84,,1274,,,,,0.8479166626930237,,1.0,,0.10930172353982925,,0.41125985980033875,,,,,
