epoch,lr,step,test_acc,test_acc_top5,test_ece,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_ece_epoch,train_ece_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_ece,val_loss
0,,14,,,,,0.203125,,0.8744791746139526,,0.09968597441911697,,1.7908812761306763,,,,,
1,,29,,,,,0.2760416567325592,,0.9088541865348816,,0.10440405458211899,,1.704367995262146,,,,,
2,,44,,,,,0.28072917461395264,,0.9135416746139526,,0.10482989996671677,,1.6796528100967407,,,,,
3,0.19599999487400055,49,,,,,,0.34375,,0.859375,,0.09560316801071167,,1.7004725933074951,,,,
3,,49,0.3086317777633667,0.9081372618675232,0.10211937129497528,1.6680949926376343,,,,,,,,,0.32499998807907104,0.8999999761581421,0.13554443418979645,1.6628942489624023
3,,59,,,,,0.2770833373069763,,0.8973958492279053,,0.10518237948417664,,1.6747745275497437,,,,,
4,,74,,,,,0.31822916865348816,,0.9255208373069763,,0.10504212230443954,,1.6334717273712158,,,,,
5,,89,,,,,0.34322917461395264,,0.9281250238418579,,0.10823101550340652,,1.6075077056884766,,,,,
6,0.3959999978542328,99,,,,,,0.359375,,0.90625,,0.0844106450676918,,1.6392850875854492,,,,
6,,99,0.3194493353366852,0.9266473054885864,0.1262461245059967,1.617152214050293,,,,,,,,,0.36000001430511475,0.9649999737739563,0.14701245725154877,1.5655758380889893
6,,104,,,,,0.33281248807907104,,0.934374988079071,,0.10171207040548325,,1.6034693717956543,,,,,
7,,119,,,,,0.34322917461395264,,0.9354166388511658,,0.12236299365758896,,1.580856442451477,,,,,
8,,134,,,,,0.35468751192092896,,0.9348958134651184,,0.11980012059211731,,1.5864852666854858,,,,,
9,0.5960000157356262,149,,,,,,0.234375,,0.953125,,0.20806780457496643,,1.6610020399093628,,,,
9,,149,0.3431062698364258,0.9383339285850525,0.11632755398750305,1.5698108673095703,,,,,,,,,0.4399999976158142,0.9449999928474426,0.17866523563861847,1.464635968208313
9,,149,,,,,0.37187498807907104,,0.942187488079071,,0.13198071718215942,,1.5661133527755737,,,,,
10,,164,,,,,0.3609375059604645,,0.934374988079071,,0.10165892541408539,,1.5571837425231934,,,,,
11,,179,,,,,0.38333332538604736,,0.9494791626930237,,0.11780468374490738,,1.533890962600708,,,,,
12,,194,,,,,0.3526041805744171,,0.9427083134651184,,0.13122841715812683,,1.5560582876205444,,,,,
13,0.7960000038146973,199,,,,,,0.328125,,0.921875,,0.09330257773399353,,1.656746745109558,,,,
13,,199,0.3315514028072357,0.9384538531303406,0.12798476219177246,1.575706958770752,,,,,,,,,0.4300000071525574,0.9649999737739563,0.14719261229038239,1.452729344367981
13,,209,,,,,0.3557291626930237,,0.942187488079071,,0.11901338398456573,,1.530271291732788,,,,,
14,,224,,,,,0.36250001192092896,,0.9395833611488342,,0.12753473222255707,,1.5418689250946045,,,,,
15,,239,,,,,0.3635416626930237,,0.949999988079071,,0.1298573762178421,,1.5248831510543823,,,,,
16,0.9959999918937683,249,,,,,,0.375,,0.953125,,0.1091751754283905,,1.4978117942810059,,,,
16,,249,0.32936856150627136,0.9222143888473511,0.17579180002212524,1.636444091796875,,,,,,,,,0.35499998927116394,0.9549999833106995,0.16088134050369263,1.511955738067627
16,,254,,,,,0.40677082538604736,,0.9557291865348816,,0.13248467445373535,,1.4736324548721313,,,,,
17,,269,,,,,0.39270833134651184,,0.9463541507720947,,0.13325990736484528,,1.482466459274292,,,,,
18,,284,,,,,0.38333332538604736,,0.9583333134651184,,0.12184571474790573,,1.4949378967285156,,,,,
19,1.1959999799728394,299,,,,,,0.40625,,0.9375,,0.15144139528274536,,1.4851648807525635,,,,
19,,299,0.34283414483070374,0.9423279762268066,0.1399553418159485,1.5487815141677856,,,,,,,,,0.4650000035762787,0.9649999737739563,0.128463014960289,1.3729071617126465
19,,299,,,,,0.4010416567325592,,0.9473958611488342,,0.1269359141588211,,1.4801996946334839,,,,,
20,,314,,,,,0.37187498807907104,,0.9442708492279053,,0.13999377191066742,,1.5124602317810059,,,,,
21,,329,,,,,0.3723958432674408,,0.9593750238418579,,0.12970946729183197,,1.4908442497253418,,,,,
22,,344,,,,,0.3895833194255829,,0.9526041746139526,,0.1405511349439621,,1.4815009832382202,,,,,
23,1.3960000276565552,349,,,,,,0.328125,,0.953125,,0.1561833620071411,,1.5059616565704346,,,,
23,,349,0.33707278966903687,0.9464536309242249,0.15798743069171906,1.5724256038665771,,,,,,,,,0.46000000834465027,0.9700000286102295,0.15465793013572693,1.3483026027679443
23,,359,,,,,0.3947916626930237,,0.9526041746139526,,0.12681719660758972,,1.467866063117981,,,,,
24,,374,,,,,0.4046874940395355,,0.9583333134651184,,0.13843554258346558,,1.4594851732254028,,,,,
25,,389,,,,,0.4052083194255829,,0.9645833373069763,,0.14560438692569733,,1.4408222436904907,,,,,
26,1.5959999561309814,399,,,,,,0.40625,,1.0,,0.07340656220912933,,1.426730751991272,,,,
26,,399,0.36077362298965454,0.9529933333396912,0.15178407728672028,1.5276997089385986,,,,,,,,,0.4950000047683716,0.9800000190734863,0.1283632516860962,1.298837423324585
26,,404,,,,,0.4114583432674408,,0.9515625238418579,,0.14005626738071442,,1.4312736988067627,,,,,
27,,419,,,,,0.4333333373069763,,0.9703124761581421,,0.13326440751552582,,1.3968154191970825,,,,,
28,,434,,,,,0.42916667461395264,,0.956250011920929,,0.13131561875343323,,1.4257043600082397,,,,,
29,1.7960000038146973,449,,,,,,0.46875,,0.984375,,0.10312487930059433,,1.400815725326538,,,,
29,,449,0.3616953194141388,0.9568557143211365,0.16097258031368256,1.525771975517273,,,,,,,,,0.5099999904632568,0.9750000238418579,0.11795869469642639,1.2792878150939941
29,,449,,,,,0.4645833373069763,,0.9630208611488342,,0.13067197799682617,,1.3916652202606201,,,,,
30,,464,,,,,0.4375,,0.9609375,,0.12638427317142487,,1.40164053440094,,,,,
31,,479,,,,,0.4468750059604645,,0.9505208134651184,,0.12468235194683075,,1.3837779760360718,,,,,
32,,494,,,,,0.4359374940395355,,0.9567708373069763,,0.1346646100282669,,1.396120309829712,,,,,
33,1.996000051498413,499,,,,,,0.390625,,0.921875,,0.15529675781726837,,1.4429075717926025,,,,
33,,499,0.36564546823501587,0.9600597023963928,0.16652795672416687,1.5184816122055054,,,,,,,,,0.5450000166893005,0.9950000047683716,0.15331049263477325,1.2319163084030151
33,,509,,,,,0.47083333134651184,,0.9661458134651184,,0.1436644196510315,,1.3589657545089722,,,,,
34,,524,,,,,0.45260417461395264,,0.9677083492279053,,0.13438941538333893,,1.3585189580917358,,,,,
35,,539,,,,,0.4557291567325592,,0.9666666388511658,,0.13943593204021454,,1.326620101928711,,,,,
36,1.9981048107147217,549,,,,,,0.453125,,0.984375,,0.16080442070960999,,1.3006304502487183,,,,
36,,549,0.38065600395202637,0.9619352221488953,0.1652342826128006,1.4872287511825562,,,,,,,,,0.5600000023841858,0.9850000143051147,0.1571917086839676,1.1620386838912964
