epoch,lr,step,test_acc,test_acc_top5,test_ece,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_ece_epoch,train_ece_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_ece,val_loss
0,,14,,,,,0.06718750298023224,,0.3046875,,0.04900762066245079,,2.825803279876709,,,,,
1,,29,,,,,0.0546875,,0.31197917461395264,,0.0716729536652565,,2.852633237838745,,,,,
2,,44,,,,,0.0755208358168602,,0.3114583194255829,,0.062458477914333344,,2.860419750213623,,,,,
3,0.24500000476837158,49,,,,,,0.09375,,0.265625,,0.007581114768981934,,2.8987786769866943,,,,
3,,49,0.0652804896235466,0.3139377236366272,0.06956715136766434,2.8729500770568848,,,,,,,,,0.0949999988079071,0.3149999976158142,0.04925910010933876,2.8356592655181885
3,,59,,,,,0.06614582985639572,,0.32343751192092896,,0.06324184685945511,,2.8525006771087646,,,,,
4,,74,,,,,0.06562499701976776,,0.35104167461395264,,0.06045512482523918,,2.8210325241088867,,,,,
5,,89,,,,,0.0703125,,0.33385416865348816,,0.05126966908574104,,2.8000378608703613,,,,,
6,0.4950000047683716,99,,,,,,0.015625,,0.328125,,0.1002429947257042,,2.8227572441101074,,,,
6,,99,0.0673285573720932,0.3294270932674408,0.053583599627017975,2.817498207092285,,,,,,,,,0.07500000298023224,0.35499998927116394,0.054119616746902466,2.774355173110962
6,,104,,,,,0.0703125,,0.3463541567325592,,0.059219084680080414,,2.8053138256073,,,,,
7,,119,,,,,0.08177082985639572,,0.3463541567325592,,0.06950598210096359,,2.816601037979126,,,,,
8,,134,,,,,0.05781250074505806,,0.34166666865348816,,0.08181553333997726,,2.829010009765625,,,,,
9,0.7450000047683716,149,,,,,,0.078125,,0.40625,,0.0683722272515297,,2.7983202934265137,,,,
9,,149,0.0753038227558136,0.3588188886642456,0.03878309950232506,2.7860844135284424,,,,,,,,,0.08500000089406967,0.4050000011920929,0.042199794203042984,2.763883590698242
9,,149,,,,,0.08437500149011612,,0.37291666865348816,,0.05185273662209511,,2.7839841842651367,,,,,
10,,164,,,,,0.06093750149011612,,0.3552083373069763,,0.06902280449867249,,2.8058884143829346,,,,,
11,,179,,,,,0.07864583283662796,,0.35624998807907104,,0.07873750478029251,,2.8219313621520996,,,,,
12,,194,,,,,0.0703125,,0.3828125,,0.06488703936338425,,2.78127384185791,,,,,
13,0.9950000047683716,199,,,,,,0.09375,,0.3125,,0.11081060022115707,,2.938014507293701,,,,
13,,199,0.0705159530043602,0.3660074770450592,0.0810696929693222,2.820507287979126,,,,,,,,,0.07999999821186066,0.44999998807907104,0.06920202076435089,2.722519636154175
13,,209,,,,,0.07916666567325592,,0.3552083373069763,,0.06820236891508102,,2.794489860534668,,,,,
14,,224,,,,,0.09583333134651184,,0.3687500059604645,,0.0723109245300293,,2.7776389122009277,,,,,
15,,239,,,,,0.1041666641831398,,0.39791667461395264,,0.07537468522787094,,2.7582778930664062,,,,,
16,1.2450000047683716,249,,,,,,0.0625,,0.25,,0.13039946556091309,,2.9030885696411133,,,,
16,,249,0.1071506068110466,0.4178602397441864,0.06616179645061493,2.7142796516418457,,,,,,,,,0.15000000596046448,0.5049999952316284,0.05474604666233063,2.6120481491088867
16,,254,,,,,0.11302082985639572,,0.42500001192092896,,0.0624663345515728,,2.713642120361328,,,,,
17,,269,,,,,0.10260416567325592,,0.49531251192092896,,0.08856511116027832,,2.630969524383545,,,,,
18,,284,,,,,0.14270833134651184,,0.5489583611488342,,0.08752402663230896,,2.542309284210205,,,,,
19,1.4950000047683716,299,,,,,,0.046875,,0.34375,,0.17357511818408966,,2.7509074211120605,,,,
19,,299,0.0975341796875,0.4479166567325592,0.10682804882526398,2.662956953048706,,,,,,,,,0.11999999731779099,0.4699999988079071,0.11328074336051941,2.62307071685791
19,,299,,,,,0.14687499403953552,,0.6015625,,0.11252327263355255,,2.4390180110931396,,,,,
20,,314,,,,,0.15416666865348816,,0.6223958134651184,,0.08343301713466644,,2.409707546234131,,,,,
21,,329,,,,,0.15520833432674408,,0.6411458253860474,,0.1020483747124672,,2.3858816623687744,,,,,
22,,344,,,,,0.16510416567325592,,0.6640625,,0.08890923112630844,,2.3237059116363525,,,,,
23,1.7450000047683716,349,,,,,,0.140625,,0.828125,,0.04884607344865799,,2.2353615760803223,,,,
23,,349,0.1888156533241272,0.7830403447151184,0.09059528261423111,2.1707775592803955,,,,,,,,,0.23000000417232513,0.8349999785423279,0.08224554359912872,2.034996271133423
23,,359,,,,,0.20000000298023224,,0.7791666388511658,,0.08362250030040741,,2.177776336669922,,,,,
24,,374,,,,,0.1796875,,0.6781250238418579,,0.09438405185937881,,2.2817184925079346,,,,,
25,,389,,,,,0.1770833283662796,,0.6848958134651184,,0.0904562696814537,,2.28420090675354,,,,,
26,1.9950000047683716,399,,,,,,0.171875,,0.6875,,0.04614516347646713,,2.3949191570281982,,,,
26,,399,0.2178412526845932,0.7811686396598816,0.0850866362452507,2.1567318439483643,,,,,,,,,0.29499998688697815,0.8500000238418579,0.14468146860599518,2.031010150909424
26,,404,,,,,0.22864583134651184,,0.7359374761581421,,0.11541745066642761,,2.220930337905884,,,,,
27,,419,,,,,0.20781250298023224,,0.745312511920929,,0.10373580455780029,,2.1681015491485596,,,,,
28,,434,,,,,0.24114583432674408,,0.7369791865348816,,0.11882605403661728,,2.198117256164551,,,,,
29,2.244999885559082,449,,,,,,0.234375,,0.90625,,0.11114650219678879,,1.8699413537979126,,,,
29,,449,0.2208658903837204,0.8261447548866272,0.0861983448266983,1.9913172721862793,,,,,,,,,0.30000001192092896,0.8949999809265137,0.1127767488360405,1.8279623985290527
29,,449,,,,,0.2916666567325592,,0.879687488079071,,0.12360065430402756,,1.899176001548767,,,,,
30,,464,,,,,0.27552083134651184,,0.8609374761581421,,0.12085273116827011,,1.9427744150161743,,,,,
31,,479,,,,,0.26354166865348816,,0.8489583134651184,,0.13067899644374847,,1.9799187183380127,,,,,
32,,494,,,,,0.2776041626930237,,0.8901041746139526,,0.1256471574306488,,1.846631646156311,,,,,
33,2.494999885559082,499,,,,,,0.140625,,0.875,,0.13038942217826843,,1.9745452404022217,,,,
33,,499,0.2454698383808136,0.9358859658241272,0.12301319092512131,1.7483062744140625,,,,,,,,,0.35499998927116394,0.9750000238418579,0.1027342677116394,1.5470722913742065
33,,509,,,,,0.31718748807907104,,0.9276041388511658,,0.12765195965766907,,1.729438304901123,,,,,
34,,524,,,,,0.34166666865348816,,0.9541666507720947,,0.12786106765270233,,1.654078722000122,,,,,
35,,539,,,,,0.3567708432674408,,0.9802083373069763,,0.13573427498340607,,1.5838663578033447,,,,,
36,2.497631072998047,549,,,,,,0.25,,0.953125,,0.12116318941116333,,1.725542426109314,,,,
36,,549,0.2693820595741272,0.9564480185508728,0.08176437020301819,1.718800663948059,,,,,,,,,0.375,0.9800000190734863,0.09859946370124817,1.5829986333847046
36,,554,,,,,0.3427083194255829,,0.9541666507720947,,0.1482916921377182,,1.6120967864990234,,,,,
37,,569,,,,,0.3656249940395355,,0.9791666865348816,,0.12617972493171692,,1.5348775386810303,,,,,
38,,584,,,,,0.35624998807907104,,0.981249988079071,,0.133469820022583,,1.5290478467941284,,,,,
39,2.4903392791748047,599,,,,,,0.5,,1.0,,0.2009730339050293,,1.381650447845459,,,,
