epoch,lr,step,test_acc,test_acc_top5,test_ece,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_ece_epoch,train_ece_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_ece,val_loss
0,,14,,,,,0.14270833134651184,,0.2760416567325592,,0.13238723576068878,,4.569787502288818,,,,,
1,,29,,,,,0.4520833194255829,,0.6682291626930237,,0.43833696842193604,,4.3847174644470215,,,,,
2,,44,,,,,0.535937488079071,,0.7442708611488342,,0.5192796587944031,,4.208663463592529,,,,,
3,0.30379998683929443,49,,,,,,0.609375,,0.796875,,0.589046835899353,,4.044161319732666,,,,
3,,49,0.780283510684967,0.9470038414001465,0.7591112852096558,3.9247241020202637,,,,,,,,,0.8999999761581421,1.0,0.8754436373710632,3.7600128650665283
3,,59,,,,,0.6083333492279053,,0.7640625238418579,,0.5878192782402039,,4.028260231018066,,,,,
4,,74,,,,,0.6421874761581421,,0.796875,,0.6167634129524231,,3.8432981967926025,,,,,
5,,89,,,,,0.6328125,,0.7833333611488342,,0.6017018556594849,,3.7012789249420166,,,,,
6,0.6137999892234802,99,,,,,,0.71875,,0.84375,,0.6815628409385681,,3.5252015590667725,,,,
6,,99,0.8803157210350037,0.9800257682800293,0.8359683156013489,3.2608988285064697,,,,,,,,,0.9649999737739563,1.0,0.9072767496109009,2.979637384414673
6,,104,,,,,0.6927083134651184,,0.8270833492279053,,0.6543846726417542,,3.506669282913208,,,,,
7,,119,,,,,0.6979166865348816,,0.84375,,0.6507626175880432,,3.346437692642212,,,,,
8,,134,,,,,0.7177083492279053,,0.8364583253860474,,0.6602519154548645,,3.1930460929870605,,,,,
9,0.923799991607666,149,,,,,,0.640625,,0.78125,,0.5806650519371033,,3.2352499961853027,,,,
9,,149,0.9041559100151062,0.984697163105011,0.8186701536178589,2.6720218658447266,,,,,,,,,0.9800000190734863,1.0,0.8602054119110107,2.298236608505249
9,,149,,,,,0.7057291865348816,,0.846875011920929,,0.63785320520401,,3.074615716934204,,,,,
10,,164,,,,,0.7177083492279053,,0.8421875238418579,,0.6379927396774292,,2.949007511138916,,,,,
11,,179,,,,,0.7239583134651184,,0.8515625,,0.6303254961967468,,2.8164029121398926,,,,,
12,,194,,,,,0.721875011920929,,0.8432291746139526,,0.6148999929428101,,2.7425942420959473,,,,,
13,1.2338000535964966,199,,,,,,0.78125,,0.828125,,0.6677507758140564,,2.639747142791748,,,,
13,,199,0.9252577424049377,0.9879187941551208,0.7794228196144104,2.1596474647521973,,,,,,,,,0.9850000143051147,1.0,0.779762327671051,1.7630681991577148
13,,209,,,,,0.7416666746139526,,0.8520833253860474,,0.6138849258422852,,2.5590755939483643,,,,,
14,,224,,,,,0.7739583253860474,,0.885937511920929,,0.6227786540985107,,2.376227617263794,,,,,
15,,239,,,,,0.7979166507720947,,0.9020833373069763,,0.6189592480659485,,2.1897361278533936,,,,,
16,1.5437999963760376,249,,,,,,0.8125,,0.921875,,0.5984079837799072,,2.0082621574401855,,,,
16,,249,0.9486147165298462,0.9922680258750916,0.7113987803459167,1.6423470973968506,,,,,,,,,0.9900000095367432,1.0,0.6707226037979126,1.280899167060852
16,,254,,,,,0.8322916626930237,,0.9192708134651184,,0.623311460018158,,2.003056287765503,,,,,
17,,269,,,,,0.8213541507720947,,0.909375011920929,,0.5761677622795105,,1.8491268157958984,,,,,
18,,284,,,,,0.8239583373069763,,0.910937488079071,,0.5545476078987122,,1.773612141609192,,,,,
19,1.8538000583648682,299,,,,,,0.84375,,0.90625,,0.458928644657135,,1.3456432819366455,,,,
19,,299,0.9634342789649963,0.9946842789649963,0.60524982213974,1.184234380722046,,,,,,,,,0.9900000095367432,1.0,0.5353111028671265,0.8862819075584412
19,,299,,,,,0.8401041626930237,,0.9125000238418579,,0.5378714799880981,,1.6434476375579834,,,,,
20,,314,,,,,0.84375,,0.9161458611488342,,0.5001250505447388,,1.5060360431671143,,,,,
21,,329,,,,,0.8479166626930237,,0.9348958134651184,,0.4748455286026001,,1.3948034048080444,,,,,
22,,344,,,,,0.8604166507720947,,0.925000011920929,,0.46525031328201294,,1.3324496746063232,,,,,
23,2.163800001144409,349,,,,,,0.875,,0.90625,,0.44233593344688416,,1.186559796333313,,,,
23,,349,0.9735824465751648,0.9958118796348572,0.47961094975471497,0.8150820136070251,,,,,,,,,0.9900000095367432,1.0,0.40075191855430603,0.5876182317733765
