epoch,lr,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,,14,,,0.5536458492279053,,3.9458072185516357,,,
1,,29,,,0.903124988079071,,2.1856234073638916,,,
2,,44,,,0.9307291507720947,,1.1091430187225342,,,
3,0.000391999987186864,49,,,,0.953125,,0.6274716854095459,,
3,,49,0.8504231572151184,0.9262487292289734,,,,,0.9850000143051147,0.47288158535957336
3,,59,,,0.964062511920929,,0.6047594547271729,,,
4,,74,,,0.979687511920929,,0.3693881034851074,,,
5,,89,,,0.9880208373069763,,0.24853475391864777,,,
6,0.0007919999770820141,99,,,,1.0,,0.12610484659671783,,
6,,99,0.8738606572151184,0.5996300578117371,,,,,0.9950000047683716,0.1315690577030182
6,,104,,,0.9895833134651184,,0.18413805961608887,,,
7,,119,,,0.9942708611488342,,0.14460784196853638,,,
8,,134,,,0.9973958134651184,,0.11747411638498306,,,
9,0.0011919999960809946,149,,,,0.984375,,0.12432229518890381,,
9,,149,0.8824869990348816,0.5256171822547913,,,,,1.0,0.0688161551952362
9,,149,,,0.9989583492279053,,0.09909768402576447,,,
10,,164,,,0.9989583492279053,,0.08683443814516068,,,
11,,179,,,0.9984375238418579,,0.07556657493114471,,,
12,,194,,,0.9989583492279053,,0.06969030201435089,,,
13,0.0015920000150799751,199,,,,1.0,,0.07147186994552612,,
13,,199,0.8776041865348816,0.5081687569618225,,,,,1.0,0.04964878410100937
13,,209,,,0.9994791746139526,,0.06249070540070534,,,
14,,224,,,1.0,,0.05760616436600685,,,
15,,239,,,1.0,,0.052652932703495026,,,
16,0.0019920000340789557,249,,,,1.0,,0.04206870496273041,,
16,,249,0.88525390625,0.47710713744163513,,,,,1.0,0.0376245491206646
16,,254,,,1.0,,0.04871867969632149,,,
17,,269,,,1.0,,0.04624094441533089,,,
18,,284,,,1.0,,0.046288248151540756,,,
19,0.002392000053077936,299,,,,1.0,,0.04936886578798294,,
19,,299,0.8849284052848816,0.48502835631370544,,,,,1.0,0.0367828905582428
19,,299,,,1.0,,0.047206632792949677,,,
20,,314,,,1.0,,0.047730494290590286,,,
21,,329,,,1.0,,0.047529712319374084,,,
22,,344,,,1.0,,0.046773843467235565,,,
23,0.0027920000720769167,349,,,,1.0,,0.050454363226890564,,
23,,349,0.8868815302848816,0.47050318121910095,,,,,1.0,0.03540777787566185
23,,359,,,1.0,,0.04577658697962761,,,
24,,374,,,0.9994791746139526,,0.04577839374542236,,,
25,,389,,,1.0,,0.04358913004398346,,,
26,0.003192000091075897,399,,,,1.0,,0.03928384929895401,,
26,,399,0.8917643427848816,0.46023988723754883,,,,,1.0,0.03206042945384979
26,,404,,,1.0,,0.04346367344260216,,,
27,,419,,,1.0,,0.042947638779878616,,,
28,,434,,,1.0,,0.04176025837659836,,,
29,0.0035920001100748777,449,,,,1.0,,0.045624516904354095,,
29,,449,0.8919270634651184,0.45650696754455566,,,,,1.0,0.029129669070243835
29,,449,,,1.0,,0.039760712534189224,,,
30,,464,,,1.0,,0.03793448954820633,,,
31,,479,,,1.0,,0.037848733365535736,,,
32,,494,,,1.0,,0.03736574202775955,,,
33,0.003992000129073858,499,,,,1.0,,0.03171144798398018,,
33,,499,0.8932291865348816,0.4500941336154938,,,,,1.0,0.027748096734285355
33,,509,,,1.0,,0.03600267320871353,,,
34,,524,,,1.0,,0.034185633063316345,,,
35,,539,,,1.0,,0.0334056094288826,,,
36,0.00399620970711112,549,,,,1.0,,0.034965693950653076,,
36,,549,0.8932291865348816,0.4379085302352905,,,,,1.0,0.02313242480158806
36,,554,,,1.0,,0.03265034779906273,,,
37,,569,,,1.0,,0.032078441232442856,,,
38,,584,,,1.0,,0.03148358687758446,,,
39,0.003984543029218912,599,,,,1.0,,0.034009337425231934,,
39,,599,0.8961588740348816,0.43267810344696045,,,,,1.0,0.020965581759810448
39,,599,,,1.0,,0.03100791573524475,,,
40,,614,,,1.0,,0.030077774077653885,,,
41,,629,,,1.0,,0.029168158769607544,,,
42,,644,,,1.0,,0.02939840964972973,,,
43,0.003965043928474188,649,,,,1.0,,0.02591472864151001,,
43,,649,0.8935546875,0.43402576446533203,,,,,1.0,0.020025527104735374
43,,659,,,1.0,,0.028086235746741295,,,
44,,674,,,1.0,,0.027790457010269165,,,
45,,689,,,1.0,,0.027558039873838425,,,
46,0.0039377897046506405,699,,,,1.0,,0.02378913387656212,,
46,,699,0.8953450322151184,0.4296233654022217,,,,,1.0,0.0189472995698452
46,,704,,,1.0,,0.027389366179704666,,,
47,,719,,,1.0,,0.026429319754242897,,,
48,,734,,,1.0,,0.026011653244495392,,,
49,0.0039028881583362818,749,,,,1.0,,0.026604723185300827,,
49,,749,0.8917643427848816,0.4377232789993286,,,,,1.0,0.017320487648248672
49,,749,,,1.0,,0.025296354666352272,,,
50,,764,,,1.0,,0.024284061044454575,,,
51,,779,,,1.0,,0.024128831923007965,,,
52,,794,,,1.0,,0.023802638053894043,,,
53,0.0038604766596108675,799,,,,1.0,,0.021043740212917328,,
53,,799,0.89892578125,0.4184839725494385,,,,,1.0,0.015896841883659363
53,,809,,,1.0,,0.023434747010469437,,,
54,,824,,,1.0,,0.02322244644165039,,,
55,,839,,,1.0,,0.023139256983995438,,,
56,0.0038107228465378284,849,,,,1.0,,0.023141250014305115,,
56,,849,0.8995768427848816,0.41238299012184143,,,,,1.0,0.01521455030888319
56,,854,,,1.0,,0.022859614342451096,,,
57,,869,,,1.0,,0.02180091291666031,,,
58,,884,,,1.0,,0.02128421515226364,,,
59,0.003753822762519121,899,,,,1.0,,0.023823749274015427,,
59,,899,0.89697265625,0.41730427742004395,,,,,1.0,0.013866039924323559
59,,899,,,1.0,,0.021420950070023537,,,
60,,914,,,1.0,,0.020474690943956375,,,
61,,929,,,1.0,,0.020897090435028076,,,
62,,944,,,1.0,,0.021566975861787796,,,
63,0.0036900010891258717,949,,,,1.0,,0.021161818876862526,,
63,,949,0.9026692509651184,0.40836724638938904,,,,,1.0,0.015501312911510468
63,,959,,,0.9973958134651184,,0.03289718180894852,,,
64,,974,,,0.9989583492279053,,0.032256174832582474,,,
65,,989,,,0.9963541626930237,,0.04064081981778145,,,
66,0.003619509981945157,999,,,,1.0,,0.03312275558710098,,
66,,999,0.9007161259651184,0.426731675863266,,,,,1.0,0.017652219161391258
