epoch,lr,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,,30,,,0.14868952333927155,,1.79630708694458,,,
1,1.9600000086938962e-05,49,,,,0.15625,,1.7750881910324097,,
1,,49,0.2164401113986969,1.7698628902435303,,,,,0.19499999284744263,1.7719546556472778
1,,61,,,0.20665322244167328,,1.7747358083724976,,,
2,,92,,,0.22429434955120087,,1.7524911165237427,,,
3,3.9599999581696466e-05,99,,,,0.3125,,1.747638463973999,,
3,,99,0.2176394760608673,1.7313768863677979,,,,,0.24500000476837158,1.7290396690368652
3,,123,,,0.2358870953321457,,1.729630947113037,,,
4,5.959999907645397e-05,149,,,,0.28125,,1.6415785551071167,,
4,,149,0.21677327156066895,1.710331678390503,,,,,0.2549999952316284,1.7039985656738281
4,,154,,,0.22429434955120087,,1.7176214456558228,,,
5,,185,,,0.24243952333927155,,1.7060561180114746,,,
6,7.960000220919028e-05,199,,,,0.28125,,1.7052748203277588,,
6,,199,0.22059346735477448,1.6962758302688599,,,,,0.26499998569488525,1.6928093433380127
6,,216,,,0.24495968222618103,,1.6986912488937378,,,
7,,247,,,0.26008063554763794,,1.6913508176803589,,,
8,9.960000170394778e-05,249,,,,0.34375,,1.656914234161377,,
8,,249,0.21981610357761383,1.6904799938201904,,,,,0.2750000059604645,1.6783655881881714
8,,278,,,0.2641128897666931,,1.6826244592666626,,,
9,0.00011960000119870529,299,,,,0.25,,1.6774985790252686,,
9,,299,0.22579069435596466,1.682529330253601,,,,,0.29499998688697815,1.6648778915405273
9,,309,,,0.2676411271095276,,1.6752551794052124,,,
10,,340,,,0.2696572542190552,,1.6648238897323608,,,
11,0.0001396000006934628,349,,,,0.25,,1.5858187675476074,,
11,,349,0.23225390911102295,1.670069694519043,,,,,0.28999999165534973,1.6484534740447998
11,,371,,,0.28679436445236206,,1.6570403575897217,,,
12,0.00015959999291226268,399,,,,0.15625,,1.7601511478424072,,
12,,399,0.2410047948360443,1.6571106910705566,,,,,0.3149999976158142,1.626584529876709
12,,402,,,0.2938508093357086,,1.6427109241485596,,,
13,,433,,,0.30443549156188965,,1.6292834281921387,,,
14,0.0001795999996829778,449,,,,0.28125,,1.6893153190612793,,
14,,449,0.2580401599407196,1.6341975927352905,,,,,0.3050000071525574,1.5915814638137817
14,,464,,,0.32258063554763794,,1.6079050302505493,,,
15,,495,,,0.33820563554763794,,1.580448031425476,,,
16,0.0001996000064536929,499,,,,0.40625,,1.444821834564209,,
16,,499,0.28313788771629333,1.5929752588272095,,,,,0.32499998807907104,1.5302488803863525
16,,526,,,0.35282257199287415,,1.5461204051971436,,,
17,0.00019996352784801275,549,,,,0.3125,,1.4437463283538818,,
17,,549,0.29557567834854126,1.5435762405395508,,,,,0.38499999046325684,1.4647539854049683
17,,557,,,0.3472782373428345,,1.5116256475448608,,,
18,,588,,,0.3775201737880707,,1.478471040725708,,,
19,0.00019985117251053452,599,,,,0.375,,1.5210022926330566,,
19,,599,0.31805261969566345,1.493817925453186,,,,,0.4050000011920929,1.4123486280441284
19,,619,,,0.3760080635547638,,1.4464935064315796,,,
20,0.00019966298714280128,649,,,,0.4375,,1.3790713548660278,,
20,,649,0.3447050452232361,1.4368211030960083,,,,,0.44999998807907104,1.351202130317688
20,,650,,,0.40625,,1.4021391868591309,,,
21,,681,,,0.42943549156188965,,1.3556737899780273,,,
22,0.0001993991172639653,699,,,,0.5,,1.3068556785583496,,
22,,699,0.3774431347846985,1.3816028833389282,,,,,0.47999998927116394,1.287237524986267
22,,712,,,0.4662298262119293,,1.3008837699890137,,,
23,,743,,,0.49344757199287415,,1.2460452318191528,,,
24,0.0001990597666008398,749,,,,0.4375,,1.15591561794281,,
24,,749,0.414423406124115,1.2907694578170776,,,,,0.5299999713897705,1.1743289232254028
24,,774,,,0.5115927457809448,,1.2056978940963745,,,
25,0.00019864518253598362,799,,,,0.4375,,1.190757393836975,,
25,,799,0.44860517978668213,1.2346261739730835,,,,,0.574999988079071,1.1126123666763306
25,,805,,,0.5337701439857483,,1.1679826974868774,,,
26,,836,,,0.5725806355476379,,1.1228944063186646,,,
27,0.00019815569976344705,849,,,,0.5,,1.173373818397522,,
27,,849,0.45457980036735535,1.2026362419128418,,,,,0.6399999856948853,1.0640524625778198
27,,867,,,0.5912298560142517,,1.0838971138000488,,,
28,,898,,,0.5967742204666138,,1.05098295211792,,,
29,0.00019759168208111078,899,,,,0.65625,,1.026002049446106,,
29,,899,0.4960465431213379,1.1331478357315063,,,,,0.6700000166893005,0.9910126328468323
29,,929,,,0.6129032373428345,,1.0281959772109985,,,
30,0.0001969535369426012,949,,,,0.46875,,1.008294939994812,,
30,,949,0.4645966589450836,1.178378701210022,,,,,0.5550000071525574,1.0233479738235474
30,,960,,,0.6194556355476379,,0.9847128987312317,,,
31,,991,,,0.6345766186714172,,0.9598050117492676,,,
32,0.00019624178821686655,999,,,,0.625,,0.9295037984848022,,
32,,999,0.4751465916633606,1.1421161890029907,,,,,0.5899999737739563,0.9687377214431763
32,,1022,,,0.6496976017951965,,0.933185875415802,,,
33,0.00019545694522093982,1049,,,,0.46875,,1.037787675857544,,
33,,1049,0.4716373682022095,1.173854112625122,,,,,0.5350000262260437,1.0015232563018799
33,,1053,,,0.6486895084381104,,0.9050323963165283,,,
34,,1084,,,0.65625,,0.8726837038993835,,,
35,0.00019459960458334535,1099,,,,0.65625,,0.7900513410568237,,
