epoch,lr,step,test_acc,test_acc_top5,test_ece,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_ece_epoch,train_ece_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_ece,val_loss
0,,14,,,,,0.06302083283662796,,0.3385416567325592,,0.06495831906795502,,2.8128342628479004,,,,,
1,,29,,,,,0.06562499701976776,,0.34062498807907104,,0.07978466153144836,,2.8303589820861816,,,,,
2,,44,,,,,0.0703125,,0.3932291567325592,,0.08265209197998047,,2.7781643867492676,,,,,
3,0.24500000476837158,49,,,,,,0.1875,,0.40625,,0.07309547066688538,,2.7941112518310547,,,,
3,,49,0.0854356586933136,0.3854030966758728,0.07458943128585815,2.7610011100769043,,,,,,,,,0.11999999731779099,0.4350000023841858,0.04805305600166321,2.675999641418457
3,,59,,,,,0.08906249701976776,,0.4208333194255829,,0.08260011672973633,,2.7602357864379883,,,,,
4,,74,,,,,0.08437500149011612,,0.40677082538604736,,0.08347106724977493,,2.7725253105163574,,,,,
5,,89,,,,,0.09687499701976776,,0.4364583194255829,,0.08277776092290878,,2.7318918704986572,,,,,
6,0.4950000047683716,99,,,,,,0.0625,,0.390625,,0.09060682356357574,,2.742838144302368,,,,
6,,99,0.1149359792470932,0.4818793535232544,0.04690082371234894,2.662376880645752,,,,,,,,,0.17000000178813934,0.5550000071525574,0.05367465317249298,2.558098793029785
6,,104,,,,,0.10572917014360428,,0.44218748807907104,,0.0635531023144722,,2.7045822143554688,,,,,
7,,119,,,,,0.08749999850988388,,0.46406251192092896,,0.09075561910867691,,2.719132423400879,,,,,
8,,134,,,,,0.1041666641831398,,0.4911458194255829,,0.06969324499368668,,2.673978328704834,,,,,
9,0.7450000047683716,149,,,,,,0.09375,,0.5,,0.08406583964824677,,2.5975589752197266,,,,
9,,149,0.1137559711933136,0.5051947832107544,0.06492790579795837,2.642361879348755,,,,,,,,,0.1899999976158142,0.6000000238418579,0.04619123041629791,2.477212429046631
9,,149,,,,,0.10572917014360428,,0.4869791567325592,,0.08419206738471985,,2.6804451942443848,,,,,
10,,164,,,,,0.12552084028720856,,0.4802083373069763,,0.0592888742685318,,2.6583447456359863,,,,,
11,,179,,,,,0.12031249701976776,,0.49270832538604736,,0.0629321038722992,,2.650827646255493,,,,,
12,,194,,,,,0.1276041716337204,,0.49010416865348816,,0.07607482373714447,,2.657367467880249,,,,,
13,0.9950000047683716,199,,,,,,0.171875,,0.515625,,0.03229088336229324,,2.5749659538269043,,,,
13,,199,0.1099989116191864,0.5090739130973816,0.09680957347154617,2.6368536949157715,,,,,,,,,0.12999999523162842,0.6349999904632568,0.09963204711675644,2.452427387237549
13,,209,,,,,0.12864583730697632,,0.5427083373069763,,0.07091264426708221,,2.6047847270965576,,,,,
