epoch,lr,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,,30,,,0.41683468222618103,,2.8207592964172363,,,
1,0.0006859999848529696,49,,,,0.78125,,0.9656606316566467,,
1,,49,0.6500706672668457,1.4911335706710815,,,,,0.8550000190734863,0.8420974016189575
1,,61,,,0.7963709831237793,,1.0340372323989868,,,
2,,92,,,0.9254032373428345,,0.506549060344696,,,
3,0.0013859999598935246,99,,,,0.96875,,0.26744818687438965,,
3,,99,0.6829096078872681,1.2313486337661743,,,,,0.9649999737739563,0.3001432716846466
3,,123,,,0.9722782373428345,,0.27579307556152344,,,
4,0.0020860000513494015,149,,,,0.96875,,0.20477721095085144,,
4,,149,0.6980932354927063,1.1335077285766602,,,,,0.9950000047683716,0.1099713146686554
4,,154,,,0.9944556355476379,,0.14520999789237976,,,
5,,185,,,0.9994959831237793,,0.09141020476818085,,,
6,0.0027860000263899565,199,,,,1.0,,0.06787604093551636,,
6,,199,0.6987994313240051,1.123106837272644,,,,,1.0,0.0610007606446743
6,,216,,,1.0,,0.06307150423526764,,,
7,,247,,,1.0,,0.04875519871711731,,,
8,0.0034860000014305115,249,,,,1.0,,0.041888512670993805,,
8,,249,0.6980932354927063,1.1335077285766602,,,,,0.9950000047683716,0.1099713146686554
8,,278,,,1.0,,0.04059135168790817,,,
9,0.00418600020930171,299,,,,1.0,,0.03549690544605255,,
9,,299,0.6972104907035828,1.11304771900177,,,,,1.0,0.030274178832769394
9,,309,,,1.0,,0.03406073898077011,,,
10,,340,,,1.0,,0.029731888324022293,,,
11,0.0048859999515116215,349,,,,1.0,,0.03195633739233017,,
11,,349,0.7009180784225464,1.1171573400497437,,,,,1.0,0.02489222213625908
11,,371,,,1.0,,0.027315838262438774,,,
12,0.00558600015938282,399,,,,1.0,,0.027241120114922523,,
12,,399,0.7003884315490723,1.1312315464019775,,,,,1.0,0.02065889909863472
12,,402,,,1.0,,0.024680428206920624,,,
13,,433,,,1.0,,0.022368384525179863,,,
14,0.0062859999015927315,449,,,,1.0,,0.019250568002462387,,
14,,449,0.6935028433799744,1.1436501741409302,,,,,1.0,0.018999319523572922
14,,464,,,1.0,,0.02065221779048443,,,
15,,495,,,1.0,,0.019351601600646973,,,
16,0.00698600010946393,499,,,,1.0,,0.01977849192917347,,
16,,499,0.7003884315490723,1.1312315464019775,,,,,1.0,0.02065889909863472
16,,526,,,1.0,,0.018397873267531395,,,
17,0.006998723838478327,549,,,,1.0,,0.018097475171089172,,
17,,549,0.6924435496330261,1.149095058441162,,,,,1.0,0.014956675469875336
17,,557,,,1.0,,0.017293106764554977,,,
18,,588,,,1.0,,0.016341038048267365,,,
19,0.006994790863245726,599,,,,1.0,,0.014431267976760864,,
19,,599,0.6961511373519897,1.1646549701690674,,,,,1.0,0.013646232895553112
19,,619,,,1.0,,0.015349327586591244,,,
20,0.006988204549998045,649,,,,1.0,,0.014779465273022652,,
20,,649,0.6913841962814331,1.1734157800674438,,,,,1.0,0.012147082015872002
20,,650,,,1.0,,0.01433083787560463,,,
21,,681,,,1.0,,0.013731605373322964,,,
22,0.006978969089686871,699,,,,1.0,,0.016485806554555893,,
22,,699,0.6919138431549072,1.183025598526001,,,,,1.0,0.011279297061264515
22,,712,,,1.0,,0.013440199196338654,,,
23,,743,,,1.0,,0.013206993229687214,,,
24,0.006967091932892799,749,,,,1.0,,0.011498037725687027,,
24,,749,0.6892655491828918,1.2188136577606201,,,,,1.0,0.014323740266263485
24,,774,,,1.0,,0.012820353731513023,,,
25,0.006952581461519003,799,,,,1.0,,0.1163305938243866,,
25,,799,0.6440678238868713,1.407500982284546,,,,,0.9399999976158142,0.2551966607570648
25,,805,,,0.9717742204666138,,0.13827942311763763,,,
26,,836,,,0.8941532373428345,,0.43335551023483276,,,
27,0.006935449317097664,849,,,,0.875,,0.4370386004447937,,
