epoch,lr,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,,14,,,0.2005208283662796,,2.2852485179901123,,,
1,,29,,,0.3479166626930237,,2.253084897994995,,,
2,,44,,,0.45260417461395264,,2.1649117469787598,,,
3,9.7999996796716e-05,49,,,,0.46875,,2.0738821029663086,,
3,,49,0.5984681248664856,1.9719061851501465,,,,,0.6200000047683716,1.969053030014038
3,,59,,,0.4833333194255829,,2.062340259552002,,,
4,,74,,,0.5354166626930237,,1.971129059791565,,,
5,,89,,,0.559374988079071,,1.8825269937515259,,,
6,0.00019799999427050352,99,,,,0.59375,,1.795243740081787,,
6,,99,0.6821078658103943,1.5571978092193604,,,,,0.7450000047683716,1.5425746440887451
6,,104,,,0.5848958492279053,,1.804351806640625,,,
7,,119,,,0.5947916507720947,,1.7472347021102905,,,
8,,134,,,0.5807291865348816,,1.7180348634719849,,,
9,0.00029799999902024865,149,,,,0.640625,,1.5392035245895386,,
9,,149,0.7233455777168274,1.2967723608016968,,,,,0.7950000166893005,1.2755650281906128
9,,149,,,0.6145833134651184,,1.6419516801834106,,,
10,,164,,,0.621874988079071,,1.6200101375579834,,,
11,,179,,,0.6312500238418579,,1.570406436920166,,,
12,,194,,,0.6625000238418579,,1.51669442653656,,,
13,0.0003980000037699938,199,,,,0.578125,,1.5961358547210693,,
13,,199,0.763051450252533,1.1148134469985962,,,,,0.8100000023841858,1.0780558586120605
13,,209,,,0.6703125238418579,,1.4900165796279907,,,
14,,224,,,0.6510416865348816,,1.493682622909546,,,
15,,239,,,0.6421874761581421,,1.455390453338623,,,
16,0.0004980000085197389,249,,,,0.75,,1.3422865867614746,,
16,,249,0.7923406958580017,0.9826953411102295,,,,,0.8500000238418579,0.9307217597961426
16,,254,,,0.6739583611488342,,1.409590482711792,,,
17,,269,,,0.684374988079071,,1.3694905042648315,,,
18,,284,,,0.6973958611488342,,1.3336011171340942,,,
19,0.000598000013269484,299,,,,0.6875,,1.3452036380767822,,
19,,299,0.826899528503418,0.8361395597457886,,,,,0.8999999761581421,0.7711542248725891
19,,299,,,0.7010416388511658,,1.3293360471725464,,,
20,,314,,,0.7239583134651184,,1.260471224784851,,,
21,,329,,,0.7286458611488342,,1.2450522184371948,,,
22,,344,,,0.7427083253860474,,1.2013338804244995,,,
23,0.0006980000180192292,349,,,,0.734375,,1.1735625267028809,,
23,,349,0.8634191155433655,0.6858873963356018,,,,,0.9350000023841858,0.609033465385437
23,,359,,,0.7604166865348816,,1.1650352478027344,,,
24,,374,,,0.7723958492279053,,1.1324247121810913,,,
25,,389,,,0.7770833373069763,,1.1133595705032349,,,
26,0.0007980000227689743,399,,,,0.859375,,0.9273658990859985,,
26,,399,0.8848651647567749,0.5644043684005737,,,,,0.9350000023841858,0.47223296761512756
26,,404,,,0.800000011920929,,1.055770993232727,,,
27,,419,,,0.7906249761581421,,1.0641391277313232,,,
28,,434,,,0.7828124761581421,,1.0526469945907593,,,
29,0.0008980000275187194,449,,,,0.8125,,1.0154643058776855,,
29,,449,0.8993260264396667,0.4822179973125458,,,,,0.9549999833106995,0.371576726436615
29,,449,,,0.792187511920929,,1.004520297050476,,,
30,,464,,,0.7953125238418579,,1.01491117477417,,,
31,,479,,,0.8145833611488342,,0.9606074094772339,,,
32,,494,,,0.8213541507720947,,0.9749950170516968,,,
33,0.0009980000322684646,499,,,,0.828125,,0.9049808979034424,,
33,,499,0.9154411554336548,0.4119325578212738,,,,,0.949999988079071,0.3047982156276703
33,,509,,,0.8380208611488342,,0.938037633895874,,,
34,,524,,,0.8374999761581421,,0.9373038411140442,,,
35,,539,,,0.832812488079071,,0.9352267384529114,,,
36,0.00099905242677778,549,,,,0.859375,,0.89400315284729,,
36,,549,0.9170956015586853,0.39000213146209717,,,,,0.9599999785423279,0.2731214761734009
36,,554,,,0.8479166626930237,,0.8943948745727539,,,
37,,569,,,0.84375,,0.8906828165054321,,,
38,,584,,,0.8552083373069763,,0.8706287741661072,,,
39,0.000996135757304728,599,,,,0.875,,0.8302956223487854,,
39,,599,0.9248774647712708,0.3489980399608612,,,,,0.9750000238418579,0.22826676070690155
39,,599,,,0.848437488079071,,0.8811208605766296,,,
40,,614,,,0.8786458373069763,,0.8319514393806458,,,
41,,629,,,0.8541666865348816,,0.8698850274085999,,,
42,,644,,,0.8755208253860474,,0.8316294550895691,,,
43,0.000991260982118547,649,,,,0.859375,,0.84751296043396,,
43,,649,0.9303308725357056,0.32292914390563965,,,,,0.9800000190734863,0.19038695096969604
43,,659,,,0.8760416507720947,,0.8013538122177124,,,
44,,674,,,0.8656250238418579,,0.8486937284469604,,,
45,,689,,,0.8973958492279053,,0.8015860915184021,,,
46,0.0009844474261626601,699,,,,0.96875,,0.7181817889213562,,
46,,699,0.930759847164154,0.31809261441230774,,,,,0.9850000143051147,0.1869400441646576
46,,704,,,0.9005208611488342,,0.7803535461425781,,,
47,,719,,,0.8989583253860474,,0.7888523936271667,,,
48,,734,,,0.8958333134651184,,0.7834370732307434,,,
49,0.0009757220395840704,749,,,,0.875,,0.7589031457901001,,
49,,749,0.9365808963775635,0.2896859049797058,,,,,0.9850000143051147,0.16561394929885864
49,,749,,,0.9046875238418579,,0.7527297139167786,,,
50,,764,,,0.9005208611488342,,0.7692622542381287,,,
51,,779,,,0.90625,,0.7561349272727966,,,
52,,794,,,0.9067708253860474,,0.7748293280601501,,,
53,0.0009651191649027169,799,,,,0.890625,,0.7171851396560669,,
53,,799,0.9332720637321472,0.29547157883644104,,,,,0.9950000047683716,0.17617511749267578
53,,809,,,0.9166666865348816,,0.7442262172698975,,,
54,,824,,,0.9281250238418579,,0.7373611927032471,,,
55,,839,,,0.921875,,0.7275295853614807,,,
56,0.0009526807116344571,849,,,,0.953125,,0.6702997088432312,,
56,,849,0.9422793984413147,0.2674269378185272,,,,,0.9900000095367432,0.13899338245391846
56,,854,,,0.918749988079071,,0.7366442084312439,,,
57,,869,,,0.9255208373069763,,0.7135521173477173,,,
58,,884,,,0.9203125238418579,,0.7313953638076782,,,
59,0.0009384556906297803,899,,,,0.921875,,0.8065576553344727,,
59,,899,0.9380514621734619,0.2712872624397278,,,,,1.0,0.14028234779834747
59,,899,,,0.9239583611488342,,0.7201324701309204,,,
60,,914,,,0.9151041507720947,,0.7203201055526733,,,
61,,929,,,0.9223958253860474,,0.7233787178993225,,,
62,,944,,,0.8989583253860474,,0.7581195831298828,,,
63,0.0009225002722814679,949,,,,0.96875,,0.6709256172180176,,
63,,949,0.9363970756530762,0.27971187233924866,,,,,0.9950000047683716,0.13957412540912628
63,,959,,,0.9286458492279053,,0.7069688439369202,,,
64,,974,,,0.9234374761581421,,0.7246579527854919,,,
65,,989,,,0.932812511920929,,0.699142575263977,,,
66,0.0009048774954862893,999,,,,0.9375,,0.6841270923614502,,
66,,999,0.9420955777168274,0.26202601194381714,,,,,1.0,0.12271063774824142
66,,1004,,,0.9281250238418579,,0.7095625996589661,,,
67,,1019,,,0.9161458611488342,,0.7074784636497498,,,
68,,1034,,,0.934374988079071,,0.6918758749961853,,,
69,0.0008856568019837141,1049,,,,0.875,,0.8218575716018677,,
69,,1049,0.9417279362678528,0.2639847993850708,,,,,1.0,0.12494406849145889
69,,1049,,,0.9260416626930237,,0.6974518895149231,,,
70,,1064,,,0.9302083253860474,,0.6915531158447266,,,
71,,1079,,,0.9208333492279053,,0.7009605765342712,,,
72,,1094,,,0.9145833253860474,,0.7056971788406372,,,
73,0.0008649141527712345,1099,,,,0.953125,,0.6506959199905396,,
73,,1099,0.9283701181411743,0.28931745886802673,,,,,1.0,0.1326543092727661
73,,1109,,,0.9234374761581421,,0.6935843825340271,,,
74,,1124,,,0.926562488079071,,0.6926904916763306,,,
75,,1139,,,0.9140625,,0.6947799921035767,,,
76,0.0008427313296124339,1149,,,,0.84375,,0.8327649831771851,,
76,,1149,0.9302083849906921,0.2906359136104584,,,,,1.0,0.13566823303699493
76,,1154,,,0.9239583611488342,,0.6871379017829895,,,
77,,1169,,,0.9286458492279053,,0.6830782294273376,,,
78,,1184,,,0.934374988079071,,0.6831517815589905,,,
79,0.0008191958768293262,1199,,,,0.9375,,0.6409989595413208,,
79,,1199,0.9457720518112183,0.2558801770210266,,,,,1.0,0.12128902226686478
79,,1199,,,0.9416666626930237,,0.6605002880096436,,,
80,,1214,,,0.9260416626930237,,0.6784080266952515,,,
81,,1229,,,0.9354166388511658,,0.6757994890213013,,,
82,,1244,,,0.9255208373069763,,0.6797556281089783,,,
83,0.0007944006938487291,1249,,,,0.9375,,0.742339551448822,,
83,,1249,0.9376838207244873,0.26859337091445923,,,,,1.0,0.12585844099521637
83,,1259,,,0.9197916388511658,,0.7006385922431946,,,
84,,1274,,,0.9302083253860474,,0.6799638271331787,,,
85,,1289,,,0.9213541746139526,,0.70206218957901,,,
86,0.0007684436859562993,1299,,,,0.921875,,0.7480800151824951,,
86,,1299,0.9474264979362488,0.2552950382232666,,,,,1.0,0.12269648909568787
86,,1304,,,0.9447916746139526,,0.6528967618942261,,,
87,,1319,,,0.932812511920929,,0.660839855670929,,,
88,,1334,,,0.9276041388511658,,0.6744345426559448,,,
89,0.0007414272404275835,1349,,,,0.96875,,0.628194272518158,,
89,,1349,0.9470587968826294,0.2456977367401123,,,,,1.0,0.11411795765161514
89,,1349,,,0.9369791746139526,,0.6662729382514954,,,
90,,1364,,,0.9223958253860474,,0.6794149875640869,,,
91,,1379,,,0.9453125,,0.6528832912445068,,,
92,,1394,,,0.9494791626930237,,0.6340205669403076,,,
93,0.0007134579936973751,1399,,,,0.9375,,0.6786285638809204,,
93,,1399,0.939338207244873,0.27152013778686523,,,,,0.9900000095367432,0.14017677307128906
93,,1409,,,0.9234374761581421,,0.6815155148506165,,,
94,,1424,,,0.9411458373069763,,0.6676526665687561,,,
95,,1439,,,0.9427083134651184,,0.641051709651947,,,
96,0.000684646307490766,1449,,,,0.96875,,0.6159223318099976,,
96,,1449,0.945036768913269,0.25355252623558044,,,,,1.0,0.10834359377622604
96,,1454,,,0.9437500238418579,,0.6454452872276306,,,
97,,1469,,,0.948437511920929,,0.6379426717758179,,,
98,,1484,,,0.9375,,0.6653653383255005,,,
99,0.0006551059195771813,1499,,,,0.921875,,0.697024941444397,,
99,,1499,0.9390318989753723,0.26835721731185913,,,,,1.0,0.12019531428813934
99,,1499,,,0.9375,,0.6604030728340149,,,
100,,1514,,,0.9494791626930237,,0.6123629212379456,,,
101,,1529,,,0.9229166507720947,,0.6807791590690613,,,
102,,1544,,,0.934374988079071,,0.6599635481834412,,,
103,0.0006249534199014306,1549,,,,0.953125,,0.6003942489624023,,
103,,1549,0.9399510025978088,0.26235511898994446,,,,,1.0,0.10525131970643997
103,,1559,,,0.9348958134651184,,0.6619189381599426,,,
104,,1574,,,0.9453125,,0.6345617771148682,,,
105,,1589,,,0.9442708492279053,,0.6313068270683289,,,
106,0.000594307784922421,1599,,,,0.9375,,0.639367938041687,,
106,,1599,0.948161780834198,0.2448745220899582,,,,,1.0,0.10350459814071655
106,,1604,,,0.9489583373069763,,0.6392399072647095,,,
107,,1619,,,0.9260416626930237,,0.6773315072059631,,,
108,,1634,,,0.9505208134651184,,0.6300085783004761,,,
109,0.0005632899119518697,1649,,,,0.921875,,0.6587926149368286,,
109,,1649,0.9325980544090271,0.2828513979911804,,,,,1.0,0.11408311128616333
109,,1649,,,0.9390624761581421,,0.6525455713272095,,,
110,,1664,,,0.9598958492279053,,0.6092684864997864,,,
111,,1679,,,0.9624999761581421,,0.6075474619865417,,,
112,,1694,,,0.9546874761581421,,0.6216586232185364,,,
113,0.0005320223281159997,1699,,,,0.96875,,0.632235050201416,,
113,,1699,0.9430146813392639,0.25790199637413025,,,,,1.0,0.1100332960486412
113,,1709,,,0.9395833611488342,,0.6462649703025818,,,
114,,1724,,,0.9380208253860474,,0.6517013907432556,,,
115,,1739,,,0.9348958134651184,,0.6482884883880615,,,
116,0.0005006283172406256,1749,,,,0.921875,,0.6792017817497253,,
116,,1749,0.9445465803146362,0.2573365271091461,,,,,1.0,0.10767258703708649
116,,1754,,,0.9427083134651184,,0.6383527517318726,,,
117,,1769,,,0.9557291865348816,,0.6078272461891174,,,
