epoch,lr,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,,14,,,0.3802083432674408,,3.7701921463012695,,,
1,,29,,,0.731249988079071,,2.0520529747009277,,,
2,,44,,,0.793749988079071,,1.6257528066635132,,,
3,0.0009800000116229057,49,,,,0.84375,,1.4869775772094727,,
3,,49,0.9764819741249084,0.20796038210391998,,,,,0.9950000047683716,0.10459668189287186
3,,59,,,0.8453124761581421,,1.4197179079055786,,,
4,,74,,,0.8682291507720947,,1.3256875276565552,,,
5,,89,,,0.8645833134651184,,1.3013243675231934,,,
6,0.001979999942705035,99,,,,0.890625,,1.1863117218017578,,
6,,99,0.984697163105011,0.19683486223220825,,,,,0.9950000047683716,0.09955866634845734
6,,104,,,0.8942708373069763,,1.205800175666809,,,
7,,119,,,0.9317708611488342,,1.1070189476013184,,,
8,,134,,,0.9052083492279053,,1.161178469657898,,,
9,0.0029800001066178083,149,,,,0.921875,,1.241400957107544,,
9,,149,0.9848582744598389,0.21547429263591766,,,,,1.0,0.1102798581123352
9,,149,,,0.9239583611488342,,1.1215291023254395,,,
10,,164,,,0.9255208373069763,,1.1126964092254639,,,
11,,179,,,0.926562488079071,,1.0893341302871704,,,
12,,194,,,0.9359375238418579,,1.06997549533844,,,
13,0.003980000037699938,199,,,,0.9375,,1.071783185005188,,
13,,199,0.9861469268798828,0.20419864356517792,,,,,1.0,0.1033116802573204
13,,209,,,0.9395833611488342,,1.0537097454071045,,,
14,,224,,,0.9567708373069763,,1.0118523836135864,,,
15,,239,,,0.9479166865348816,,1.0367152690887451,,,
16,0.004980000201612711,249,,,,0.953125,,1.013540506362915,,
16,,249,0.9880799055099487,0.21482059359550476,,,,,1.0,0.11012139916419983
16,,254,,,0.9510416388511658,,1.0073721408843994,,,
17,,269,,,0.9567708373069763,,0.9846674799919128,,,
18,,284,,,0.9312499761581421,,1.05899977684021,,,
19,0.005979999899864197,299,,,,0.9375,,1.0250000953674316,,
19,,299,0.9884020686149597,0.21633702516555786,,,,,1.0,0.103492371737957
19,,299,,,0.9458333253860474,,1.020770788192749,,,
20,,314,,,0.9572916626930237,,0.9905688762664795,,,
21,,329,,,0.965624988079071,,0.9704846739768982,,,
22,,344,,,0.9661458134651184,,0.9736431241035461,,,
23,0.00698000006377697,349,,,,0.953125,,0.9751474857330322,,
23,,349,0.9855026006698608,0.23579911887645721,,,,,1.0,0.11333175003528595
23,,359,,,0.9739583134651184,,0.9434633255004883,,,
24,,374,,,0.9635416865348816,,0.9686483144760132,,,
25,,389,,,0.9671875238418579,,0.9552274942398071,,,
26,0.007980000227689743,399,,,,0.9375,,1.0346548557281494,,
26,,399,0.984052836894989,0.24748428165912628,,,,,1.0,0.11576585471630096
26,,404,,,0.9557291865348816,,1.0051945447921753,,,
27,,419,,,0.9619791507720947,,0.963740885257721,,,
28,,434,,,0.957812488079071,,0.9694783091545105,,,
29,0.008980000391602516,449,,,,1.0,,0.8761559128761292,,
29,,449,0.9880799055099487,0.21953563392162323,,,,,1.0,0.115020252764225
29,,449,,,0.9708333611488342,,0.9564836025238037,,,
30,,464,,,0.9760416746139526,,0.9386593699455261,,,
31,,479,,,0.9781249761581421,,0.9335984587669373,,,
32,,494,,,0.971875011920929,,0.9390228390693665,,,
33,0.009979999624192715,499,,,,0.9375,,1.0429823398590088,,
33,,499,0.9867912530899048,0.22260954976081848,,,,,1.0,0.11470012366771698
33,,509,,,0.9630208611488342,,0.9657160639762878,,,
34,,524,,,0.9682291746139526,,0.945739209651947,,,
35,,539,,,0.9697916507720947,,0.9455202221870422,,,
36,0.009990524500608444,549,,,,1.0,,0.8970661163330078,,
36,,549,0.9872744679450989,0.23232366144657135,,,,,1.0,0.1117691919207573
36,,554,,,0.9708333611488342,,0.9342559576034546,,,
37,,569,,,0.9807291626930237,,0.9242478609085083,,,
38,,584,,,0.9739583134651184,,0.9354128241539001,,,
39,0.009961357340216637,599,,,,1.0,,0.9104092121124268,,
39,,599,0.9858247637748718,0.22291572391986847,,,,,1.0,0.11137951910495758
39,,599,,,0.9755208492279053,,0.9357843399047852,,,
40,,614,,,0.9744791388511658,,0.9332131147384644,,,
41,,629,,,0.9781249761581421,,0.9176098704338074,,,
42,,644,,,0.9713541865348816,,0.942672848701477,,,
43,0.009912610054016113,649,,,,0.96875,,0.8815752863883972,,
43,,649,0.9874355792999268,0.22829404473304749,,,,,1.0,0.11083807796239853
43,,659,,,0.9677083492279053,,0.9417463541030884,,,
44,,674,,,0.9723958373069763,,0.9297075271606445,,,
45,,689,,,0.9671875238418579,,0.9369909167289734,,,
46,0.0009844474261626601,699,,,,0.9375,,1.026913046836853,,
46,,699,0.985341489315033,0.19739699363708496,,,,,1.0,0.10741900652647018
46,,704,,,0.9463541507720947,,1.018474817276001,,,
47,,719,,,0.9510416388511658,,1.0173053741455078,,,
48,,734,,,0.9447916746139526,,1.0255964994430542,,,
49,0.0009757220395840704,749,,,,0.953125,,0.9873670339584351,,
49,,749,0.9869523048400879,0.18947403132915497,,,,,1.0,0.10558175295591354
49,,749,,,0.9437500238418579,,1.0329941511154175,,,
50,,764,,,0.9546874761581421,,0.9853557348251343,,,
51,,779,,,0.9520833492279053,,0.9973853230476379,,,
52,,794,,,0.9630208611488342,,0.9727998971939087,,,
53,0.0009651191649027169,799,,,,0.96875,,0.9535331726074219,,
53,,799,0.9887242317199707,0.1921536773443222,,,,,1.0,0.10447638481855392
53,,809,,,0.9567708373069763,,0.9803532958030701,,,
54,,824,,,0.9593750238418579,,0.9758005142211914,,,
55,,839,,,0.9510416388511658,,0.993859589099884,,,
56,0.0009526807116344571,849,,,,0.9375,,1.0260792970657349,,
56,,849,0.9877577424049377,0.19028256833553314,,,,,1.0,0.10306187719106674
56,,854,,,0.9567708373069763,,0.9921807050704956,,,
57,,869,,,0.9604166746139526,,0.9790470004081726,,,
58,,884,,,0.9593750238418579,,0.9772211909294128,,,
59,0.0009384556906297803,899,,,,0.890625,,1.1189671754837036,,
59,,899,0.9880799055099487,0.1861196905374527,,,,,1.0,0.10057731717824936
59,,899,,,0.9432291388511658,,1.0180705785751343,,,
60,,914,,,0.965624988079071,,0.9570043087005615,,,
61,,929,,,0.9671875238418579,,0.9623313546180725,,,
62,,944,,,0.9619791507720947,,0.9704647660255432,,,
63,0.0009225002722814679,949,,,,0.921875,,1.063401699066162,,
63,,949,0.9888852834701538,0.19218283891677856,,,,,1.0,0.10329952090978622
63,,959,,,0.9619791507720947,,0.9618352651596069,,,
64,,974,,,0.9713541865348816,,0.9371692538261414,,,
65,,989,,,0.9583333134651184,,0.9706479907035828,,,
66,0.0009048774954862893,999,,,,0.953125,,1.0245815515518188,,
66,,999,0.9880799055099487,0.18603268265724182,,,,,1.0,0.09860260784626007
66,,1004,,,0.957812488079071,,0.9805324673652649,,,
67,,1019,,,0.9651041626930237,,0.9524804949760437,,,
68,,1034,,,0.9697916507720947,,0.9439685344696045,,,
69,0.0008856568019837141,1049,,,,0.9375,,0.9476673603057861,,
69,,1049,0.9864690899848938,0.19130264222621918,,,,,1.0,0.09936465322971344
69,,1049,,,0.9666666388511658,,0.9396184682846069,,,
70,,1064,,,0.9645833373069763,,0.9502385854721069,,,
71,,1079,,,0.9692708253860474,,0.9425299763679504,,,
72,,1094,,,0.9713541865348816,,0.9492248296737671,,,
73,0.0008649141527712345,1099,,,,0.9375,,1.0521173477172852,,
73,,1099,0.9880799055099487,0.18622951209545135,,,,,1.0,0.09870395809412003
73,,1109,,,0.9692708253860474,,0.9384346604347229,,,
74,,1124,,,0.9760416746139526,,0.9254859685897827,,,
75,,1139,,,0.9692708253860474,,0.9577003717422485,,,
76,0.0008427313296124339,1149,,,,0.953125,,0.9682844281196594,,
76,,1149,0.9888852834701538,0.1858721822500229,,,,,1.0,0.09967631101608276
76,,1154,,,0.9661458134651184,,0.9519407153129578,,,
77,,1169,,,0.9739583134651184,,0.9297395348548889,,,
78,,1184,,,0.9703124761581421,,0.9343553781509399,,,
79,0.0008191958768293262,1199,,,,1.0,,0.8350175619125366,,
79,,1199,0.9877577424049377,0.19397631287574768,,,,,1.0,0.10291197150945663
79,,1199,,,0.9703124761581421,,0.9414295554161072,,,
80,,1214,,,0.9739583134651184,,0.9157922267913818,,,
81,,1229,,,0.9703124761581421,,0.9309679269790649,,,
82,,1244,,,0.9692708253860474,,0.9307869672775269,,,
83,0.0007944006938487291,1249,,,,1.0,,0.8965346813201904,,
83,,1249,0.9885631203651428,0.19679796695709229,,,,,1.0,0.10454627126455307
83,,1259,,,0.9692708253860474,,0.9325583577156067,,,
84,,1274,,,0.9755208492279053,,0.9195249676704407,,,
85,,1289,,,0.973437488079071,,0.9155189990997314,,,
86,0.0007684436859562993,1299,,,,1.0,,0.8619277477264404,,
86,,1299,0.9877577424049377,0.20160222053527832,,,,,1.0,0.10455091297626495
86,,1304,,,0.9791666865348816,,0.9020015001296997,,,
87,,1319,,,0.9750000238418579,,0.9116885662078857,,,
88,,1334,,,0.979687511920929,,0.9076178073883057,,,
89,0.0007414272404275835,1349,,,,0.96875,,0.9001591801643372,,
89,,1349,0.9884020686149597,0.19223888218402863,,,,,1.0,0.10009053349494934
89,,1349,,,0.9807291626930237,,0.8992462158203125,,,
90,,1364,,,0.9635416865348816,,0.9419383406639099,,,
91,,1379,,,0.9744791388511658,,0.9190357327461243,,,
92,,1394,,,0.9765625,,0.9118480682373047,,,
93,0.0007134579936973751,1399,,,,0.96875,,0.9359835982322693,,
93,,1399,0.9904961585998535,0.1940164715051651,,,,,1.0,0.10134728252887726
93,,1409,,,0.9770833253860474,,0.9112499952316284,,,
94,,1424,,,0.9802083373069763,,0.8997722268104553,,,
95,,1439,,,0.973437488079071,,0.9112189412117004,,,
96,0.000684646307490766,1449,,,,0.984375,,0.9051507115364075,,
96,,1449,0.9877577424049377,0.19999362528324127,,,,,1.0,0.10379651933908463
96,,1454,,,0.9791666865348816,,0.9101361632347107,,,
97,,1469,,,0.9755208492279053,,0.910574197769165,,,
98,,1484,,,0.9729166626930237,,0.9263526201248169,,,
99,0.0006551059195771813,1499,,,,0.984375,,0.8523658514022827,,
99,,1499,0.9896907210350037,0.19404718279838562,,,,,1.0,0.10198714584112167
99,,1499,,,0.971875011920929,,0.9224339127540588,,,
100,,1514,,,0.9755208492279053,,0.9005933403968811,,,
101,,1529,,,0.9786458611488342,,0.8903781771659851,,,
102,,1544,,,0.981249988079071,,0.8775564432144165,,,
103,0.0006249534199014306,1549,,,,0.984375,,0.9301548004150391,,
103,,1549,0.9908183217048645,0.19198547303676605,,,,,1.0,0.10159648954868317
103,,1559,,,0.979687511920929,,0.8979276418685913,,,
104,,1574,,,0.9760416746139526,,0.8910881280899048,,,
105,,1589,,,0.9807291626930237,,0.8970507979393005,,,
106,0.000594307784922421,1599,,,,0.953125,,0.9965502619743347,,
106,,1599,0.9906572103500366,0.19060905277729034,,,,,1.0,0.099826380610466
106,,1604,,,0.9760416746139526,,0.9061354398727417,,,
107,,1619,,,0.979687511920929,,0.8955224752426147,,,
108,,1634,,,0.9750000238418579,,0.9051142930984497,,,
109,0.0005632899119518697,1649,,,,0.96875,,0.8995988368988037,,
109,,1649,0.9898518323898315,0.1918068379163742,,,,,1.0,0.10232087224721909
109,,1649,,,0.973437488079071,,0.9001165628433228,,,
110,,1664,,,0.9708333611488342,,0.9166666865348816,,,
111,,1679,,,0.9739583134651184,,0.9073957800865173,,,
112,,1694,,,0.9828125238418579,,0.8769733309745789,,,
113,0.0005320223281159997,1699,,,,0.953125,,0.8787232041358948,,
113,,1699,0.9888852834701538,0.1924806386232376,,,,,1.0,0.10157298296689987
113,,1709,,,0.9708333611488342,,0.9153395891189575,,,
114,,1724,,,0.9776041507720947,,0.9018135666847229,,,
115,,1739,,,0.9760416746139526,,0.8938643336296082,,,
116,0.0005006283172406256,1749,,,,0.9375,,0.9981704950332642,,
116,,1749,0.9887242317199707,0.19345621764659882,,,,,1.0,0.10027723014354706
116,,1754,,,0.979687511920929,,0.8811171650886536,,,
117,,1769,,,0.9838541746139526,,0.8734584450721741,,,
118,,1784,,,0.9869791865348816,,0.8784809708595276,,,
119,0.0004692318325396627,1799,,,,0.96875,,0.8994963765144348,,
119,,1799,0.9872744679450989,0.1992078721523285,,,,,1.0,0.1023084744811058
119,,1799,,,0.9802083373069763,,0.8908973932266235,,,
120,,1814,,,0.981249988079071,,0.8771589398384094,,,
121,,1829,,,0.9817708134651184,,0.8805798888206482,,,
122,,1844,,,0.9770833253860474,,0.892684280872345,,,
123,0.00043795679812319577,1849,,,,0.953125,,0.9044718742370605,,
123,,1849,0.9884020686149597,0.19706201553344727,,,,,1.0,0.10346989333629608
123,,1859,,,0.981249988079071,,0.8806250691413879,,,
124,,1874,,,0.9807291626930237,,0.8894394636154175,,,
125,,1889,,,0.9822916388511658,,0.8783199787139893,,,
126,0.0004069266142323613,1899,,,,1.0,,0.8329068422317505,,
126,,1899,0.9867912530899048,0.20346032083034515,,,,,1.0,0.10561098903417587
126,,1904,,,0.981249988079071,,0.8779505491256714,,,
127,,1919,,,0.9885416626930237,,0.8651979565620422,,,
128,,1934,,,0.9838541746139526,,0.8800238370895386,,,
129,0.00037626372068189085,1949,,,,1.0,,0.8335473537445068,,
129,,1949,0.9892074465751648,0.1962236762046814,,,,,1.0,0.10381168127059937
129,,1949,,,0.9859374761581421,,0.8711578249931335,,,
130,,1964,,,0.9786458611488342,,0.8808755278587341,,,
131,,1979,,,0.981249988079071,,0.8824090957641602,,,
132,,1994,,,0.9854166507720947,,0.8635494709014893,,,
133,0.00034608918940648437,1999,,,,0.96875,,0.8859150409698486,,
133,,1999,0.9887242317199707,0.19574879109859467,,,,,1.0,0.10052984952926636
133,,2009,,,0.9838541746139526,,0.879928469657898,,,
134,,2024,,,0.984375,,0.8790187835693359,,,
135,,2039,,,0.9802083373069763,,0.8738125562667847,,,
136,0.0003165220550727099,2049,,,,0.96875,,0.9726381301879883,,
136,,2049,0.9887242317199707,0.19142107665538788,,,,,1.0,0.10075101256370544
136,,2054,,,0.984375,,0.8746547102928162,,,
137,,2069,,,0.9864583611488342,,0.8692301511764526,,,
138,,2084,,,0.9776041507720947,,0.8867314457893372,,,
139,0.00028767905314452946,2099,,,,0.96875,,0.9231049418449402,,
139,,2099,0.9882409572601318,0.19610059261322021,,,,,1.0,0.10196927934885025
139,,2099,,,0.9864583611488342,,0.8728687763214111,,,
140,,2114,,,0.9880208373069763,,0.8676679730415344,,,
141,,2129,,,0.9906250238418579,,0.8593112826347351,,,
142,,2144,,,0.9880208373069763,,0.8563398718833923,,,
143,0.00025967395049519837,2149,,,,0.984375,,0.8794406652450562,,
143,,2149,0.9885631203651428,0.19786834716796875,,,,,1.0,0.10198988765478134
143,,2159,,,0.9791666865348816,,0.8774069547653198,,,
144,,2174,,,0.979687511920929,,0.8864701390266418,,,
145,,2189,,,0.9838541746139526,,0.8644040822982788,,,
146,0.000232617327128537,2199,,,,1.0,,0.8441197872161865,,
146,,2199,0.9896907210350037,0.19549189507961273,,,,,1.0,0.10545217245817184
146,,2204,,,0.9869791865348816,,0.8657816648483276,,,
147,,2219,,,0.9817708134651184,,0.8707010746002197,,,
148,,2234,,,0.9822916388511658,,0.8705138564109802,,,
149,0.00020661592134274542,2249,,,,0.984375,,0.8704791069030762,,
149,,2249,0.9903350472450256,0.20064204931259155,,,,,1.0,0.1052304357290268
149,,2249,,,0.9885416626930237,,0.8515416383743286,,,
150,,2264,,,0.9781249761581421,,0.8807227611541748,,,
151,,2279,,,0.9828125238418579,,0.8777968287467957,,,
152,,2294,,,0.981249988079071,,0.8800991773605347,,,
153,0.00018177238234784454,2299,,,,1.0,,0.8273448944091797,,
153,,2299,0.9896907210350037,0.20261132717132568,,,,,1.0,0.10250231623649597
153,,2309,,,0.9895833134651184,,0.8566944003105164,,,
154,,2324,,,0.9828125238418579,,0.8725743889808655,,,
155,,2339,,,0.9880208373069763,,0.859082043170929,,,
156,0.00015818474639672786,2349,,,,0.984375,,0.866451621055603,,
156,,2349,0.9885631203651428,0.1941174417734146,,,,,1.0,0.0984206274151802
156,,2354,,,0.9817708134651184,,0.8711312413215637,,,
157,,2369,,,0.9916666746139526,,0.8541232347488403,,,
158,,2384,,,0.9880208373069763,,0.8597608804702759,,,
159,0.00013594608753919601,2399,,,,0.984375,,0.8440351486206055,,
159,,2399,0.9904961585998535,0.19360405206680298,,,,,1.0,0.10061557590961456
159,,2399,,,0.9895833134651184,,0.8536357879638672,,,
160,,2414,,,0.9864583611488342,,0.8597305417060852,,,
161,,2429,,,0.9859374761581421,,0.8632165193557739,,,
162,,2444,,,0.9885416626930237,,0.8493764400482178,,,
163,0.00011514419020386413,2449,,,,0.953125,,0.9220548868179321,,
163,,2449,0.9867912530899048,0.19992384314537048,,,,,1.0,0.10140037536621094
163,,2459,,,0.973437488079071,,0.8911422491073608,,,
164,,2474,,,0.9864583611488342,,0.8637977838516235,,,
165,,2489,,,0.9937499761581421,,0.8358787298202515,,,
166,9.586114174453542e-05,2499,,,,0.984375,,0.8820645213127136,,
166,,2499,0.9877577424049377,0.19863787293434143,,,,,1.0,0.10085685551166534
166,,2504,,,0.9921875,,0.848063588142395,,,
167,,2519,,,0.9895833134651184,,0.8464725613594055,,,
168,,2534,,,0.984375,,0.8640965819358826,,,
169,7.817304140189663e-05,2549,,,,1.0,,0.8075594305992126,,
169,,2549,0.9888852834701538,0.19574770331382751,,,,,1.0,0.09985798597335815
169,,2549,,,0.9833333492279053,,0.8628031611442566,,,
170,,2564,,,0.9869791865348816,,0.8450958728790283,,,
171,,2579,,,0.9916666746139526,,0.8407347202301025,,,
172,,2594,,,0.9911458492279053,,0.8422359228134155,,,
173,6.214970198925585e-05,2599,,,,0.984375,,0.8333661556243896,,
173,,2599,0.9858247637748718,0.2037578672170639,,,,,1.0,0.10256607830524445
173,,2609,,,0.9859374761581421,,0.8605138659477234,,,
174,,2624,,,0.9921875,,0.8413081765174866,,,
175,,2639,,,0.989062488079071,,0.8487177491188049,,,
176,4.785435521625914e-05,2649,,,,0.984375,,0.8768597841262817,,
176,,2649,0.9867912530899048,0.19684848189353943,,,,,1.0,0.10079815238714218
176,,2654,,,0.9848958253860474,,0.8639091849327087,,,
177,,2669,,,0.9833333492279053,,0.8667747378349304,,,
178,,2684,,,0.9901041388511658,,0.8522961139678955,,,
179,3.5343422496225685e-05,2699,,,,0.984375,,0.9078786373138428,,
179,,2699,0.9869523048400879,0.19546577334403992,,,,,1.0,0.09973746538162231
179,,2699,,,0.9869791865348816,,0.8501819372177124,,,
180,,2714,,,0.9901041388511658,,0.8443483114242554,,,
181,,2729,,,0.989062488079071,,0.8464314341545105,,,
182,,2744,,,0.984375,,0.8616859316825867,,,
183,2.466627847752534e-05,2749,,,,1.0,,0.815942645072937,,
183,,2749,0.9871134161949158,0.2009555846452713,,,,,1.0,0.10272400081157684
183,,2759,,,0.9932291507720947,,0.8466110229492188,,,
184,,2774,,,0.9859374761581421,,0.8628805875778198,,,
185,,2789,,,0.984375,,0.8608913421630859,,,
186,1.5865058230701834e-05,2799,,,,0.984375,,0.8804649114608765,,
186,,2799,0.9869523048400879,0.19552814960479736,,,,,1.0,0.10071849822998047
186,,2804,,,0.9947916865348816,,0.836126983165741,,,
187,,2819,,,0.987500011920929,,0.8552668690681458,,,
188,,2834,,,0.9895833134651184,,0.8438354134559631,,,
189,8.974497177405283e-06,2849,,,,1.0,,0.8777759075164795,,
189,,2849,0.9915235909172869,0.19574770331382751,,,,,1.0,0.10079815238714218
189,,2849,,,0.9869791865348816,,0.8542259335517883,,,
190,,2864,,,0.9859374761581421,,0.8545185923576355,,,
191,,2879,,,0.987500011920929,,0.8570521473884583,,,
192,,2894,,,0.9921875,,0.8314450979232788,,,
193,4.0217901187133975e-06,2899,,,,1.0,,0.8090194463729858,,
193,,2899,0.9887242317199707,0.19652463495731354,,,,,1.0,0.1026640310883522
