epoch,lr,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,,14,,,0.5333333611488342,,0.6839897036552429,,,
1,,29,,,0.6697916388511658,,0.6366704106330872,,,
2,,44,,,0.6890624761581421,,0.6114451289176941,,,
3,0.0004900000058114529,49,,,,0.6875,,0.6265642046928406,,
3,,49,0.71502685546875,0.5687111616134644,,,,,0.7749999761581421,0.5255603194236755
3,,59,,,0.6932291388511658,,0.6067201495170593,,,
4,,74,,,0.7145833373069763,,0.6007552742958069,,,
5,,89,,,0.7213541865348816,,0.580547571182251,,,
6,0.0009899999713525176,99,,,,0.6875,,0.6270351409912109,,
6,,99,0.77081298828125,0.5240702629089355,,,,,0.8050000071525574,0.4752363860607147
6,,104,,,0.7057291865348816,,0.5848477482795715,,,
7,,119,,,0.7442708611488342,,0.5647677183151245,,,
8,,134,,,0.7395833134651184,,0.5617810487747192,,,
9,0.0014900000533089042,149,,,,0.75,,0.5706831812858582,,
9,,149,0.779449462890625,0.5106917023658752,,,,,0.8050000071525574,0.4468499422073364
9,,149,,,0.7369791865348816,,0.569044828414917,,,
10,,164,,,0.7520833611488342,,0.5525771975517273,,,
11,,179,,,0.7510416507720947,,0.5485775470733643,,,
12,,194,,,0.7666666507720947,,0.5388616919517517,,,
13,0.001990000018849969,199,,,,0.6875,,0.5757703185081482,,
13,,199,0.77197265625,0.5112773776054382,,,,,0.7950000166893005,0.44033583998680115
13,,209,,,0.7416666746139526,,0.5510700345039368,,,
14,,224,,,0.737500011920929,,0.5567244291305542,,,
15,,239,,,0.7479166388511658,,0.5507508516311646,,,
16,0.0024900001008063555,249,,,,0.796875,,0.5125724077224731,,
16,,249,0.76214599609375,0.5028991103172302,,,,,0.8600000143051147,0.3995364010334015
16,,254,,,0.7807291746139526,,0.5264910459518433,,,
17,,269,,,0.7260416746139526,,0.5475426912307739,,,
18,,284,,,0.7729166746139526,,0.5236829519271851,,,
19,0.0029899999499320984,299,,,,0.765625,,0.5262384414672852,,
19,,299,0.775634765625,0.4790502190589905,,,,,0.8299999833106995,0.38904136419296265
19,,299,,,0.7604166865348816,,0.5323984622955322,,,
20,,314,,,0.765625,,0.5311605930328369,,,
21,,329,,,0.7822916507720947,,0.5101001262664795,,,
22,,344,,,0.778124988079071,,0.5175849199295044,,,
23,0.003490000031888485,349,,,,0.8125,,0.46672916412353516,,
23,,349,0.77655029296875,0.4700874090194702,,,,,0.8399999737739563,0.3684330880641937
23,,359,,,0.7666666507720947,,0.5148640871047974,,,
24,,374,,,0.7802083492279053,,0.5201156735420227,,,
25,,389,,,0.7578125,,0.52928626537323,,,
26,0.0039900001138448715,399,,,,0.796875,,0.5066880583763123,,
26,,399,0.74090576171875,0.5247461795806885,,,,,0.8500000238418579,0.38908588886260986
26,,404,,,0.7744791507720947,,0.523993194103241,,,
27,,419,,,0.7749999761581421,,0.5140190720558167,,,
28,,434,,,0.784375011920929,,0.5086434483528137,,,
29,0.004490000195801258,449,,,,0.8125,,0.49067017436027527,,
29,,449,0.74896240234375,0.5134949684143066,,,,,0.8600000143051147,0.37906888127326965
29,,449,,,0.776562511920929,,0.5183925032615662,,,
30,,464,,,0.7713541388511658,,0.5163211226463318,,,
31,,479,,,0.7947916388511658,,0.5026766061782837,,,
32,,494,,,0.7682291865348816,,0.5183870196342468,,,
33,0.004989999812096357,499,,,,0.796875,,0.5435279607772827,,
33,,499,0.735595703125,0.5278677344322205,,,,,0.8349999785423279,0.3975961208343506
33,,509,,,0.7854166626930237,,0.5040171146392822,,,
34,,524,,,0.7776041626930237,,0.5113227963447571,,,
35,,539,,,0.7770833373069763,,0.516511082649231,,,
36,0.004995262250304222,549,,,,0.765625,,0.49798890948295593,,
36,,549,0.760467529296875,0.48656174540519714,,,,,0.8450000286102295,0.36040589213371277
36,,554,,,0.7822916507720947,,0.5138720870018005,,,
37,,569,,,0.7770833373069763,,0.518842339515686,,,
38,,584,,,0.7802083492279053,,0.5037509202957153,,,
39,0.004980678670108318,599,,,,0.765625,,0.49340376257896423,,
39,,599,0.757354736328125,0.5067276358604431,,,,,0.8349999785423279,0.35973525047302246
39,,599,,,0.7963541746139526,,0.48982080817222595,,,
40,,614,,,0.785937488079071,,0.5008856058120728,,,
41,,629,,,0.792187511920929,,0.4975740611553192,,,
42,,644,,,0.778124988079071,,0.5070533752441406,,,
43,0.004956305027008057,649,,,,0.84375,,0.448329359292984,,
43,,649,0.754547119140625,0.495339572429657,,,,,0.8500000238418579,0.34808579087257385
43,,659,,,0.796875,,0.4806883931159973,,,
44,,674,,,0.809374988079071,,0.4708777964115143,,,
45,,689,,,0.7989583611488342,,0.4896785318851471,,,
46,0.0049222372472286224,699,,,,0.765625,,0.49286124110221863,,
46,,699,0.7841796875,0.45746973156929016,,,,,0.8799999952316284,0.3322199583053589
46,,704,,,0.7989583611488342,,0.4984945058822632,,,
47,,719,,,0.8166666626930237,,0.4776390790939331,,,
48,,734,,,0.8114583492279053,,0.463405042886734,,,
49,0.004878610372543335,749,,,,0.8125,,0.4602448046207428,,
49,,749,0.76763916015625,0.4826473593711853,,,,,0.8700000047683716,0.3258190155029297
49,,749,,,0.7880208492279053,,0.502251386642456,,,
50,,764,,,0.7984374761581421,,0.5055060982704163,,,
51,,779,,,0.7911458611488342,,0.5110594630241394,,,
52,,794,,,0.8119791746139526,,0.4854666292667389,,,
53,0.0048255957663059235,799,,,,0.8125,,0.48219430446624756,,
53,,799,0.776275634765625,0.4725853204727173,,,,,0.8700000047683716,0.31360146403312683
53,,809,,,0.800000011920929,,0.4921502470970154,,,
54,,824,,,0.8046875,,0.4855421781539917,,,
55,,839,,,0.8135416507720947,,0.4661582410335541,,,
56,0.004763403441756964,849,,,,0.859375,,0.43663281202316284,,
56,,849,0.797943115234375,0.43613946437835693,,,,,0.8949999809265137,0.3017713129520416
56,,854,,,0.8291666507720947,,0.46679210662841797,,,
57,,869,,,0.8177083134651184,,0.46034127473831177,,,
58,,884,,,0.8161458373069763,,0.4527209997177124,,,
59,0.00469227833673358,899,,,,0.78125,,0.49634119868278503,,
59,,899,0.780120849609375,0.4713713228702545,,,,,0.8650000095367432,0.31559881567955017
59,,899,,,0.8223958611488342,,0.45254388451576233,,,
60,,914,,,0.800000011920929,,0.48459213972091675,,,
61,,929,,,0.8109375238418579,,0.4670138359069824,,,
62,,944,,,0.809374988079071,,0.4589958190917969,,,
63,0.004612501710653305,949,,,,0.859375,,0.44958966970443726,,
63,,949,0.817962646484375,0.40689554810523987,,,,,0.8949999809265137,0.26063352823257446
63,,959,,,0.8260416388511658,,0.4547031819820404,,,
64,,974,,,0.8244791626930237,,0.4486198425292969,,,
65,,989,,,0.8338541388511658,,0.44437989592552185,,,
66,0.004524387419223785,999,,,,0.875,,0.39588096737861633,,
66,,999,0.78924560546875,0.4444368779659271,,,,,0.9049999713897705,0.2785884737968445
66,,1004,,,0.8197916746139526,,0.4665350317955017,,,
67,,1019,,,0.8380208611488342,,0.4453796446323395,,,
68,,1034,,,0.8307291865348816,,0.4448222517967224,,,
69,0.004428284242749214,1049,,,,0.859375,,0.4377656579017639,,
69,,1049,0.7659912109375,0.48745444416999817,,,,,0.8450000286102295,0.3019605576992035
69,,1049,,,0.840624988079071,,0.44649359583854675,,,
70,,1064,,,0.8307291865348816,,0.44658002257347107,,,
71,,1079,,,0.8286458253860474,,0.44927749037742615,,,
72,,1094,,,0.8276041746139526,,0.4491775631904602,,,
73,0.0043245707638561726,1099,,,,0.8125,,0.5082404613494873,,
73,,1099,0.7763671875,0.46944549679756165,,,,,0.8899999856948853,0.27217137813568115
73,,1109,,,0.8197916746139526,,0.45857059955596924,,,
74,,1124,,,0.8380208611488342,,0.4416925609111786,,,
75,,1139,,,0.8447916507720947,,0.4327983856201172,,,
76,0.004213656764477491,1149,,,,0.765625,,0.4498251676559448,,
76,,1149,0.77960205078125,0.45302972197532654,,,,,0.8899999856948853,0.2921300232410431
76,,1154,,,0.8151041865348816,,0.4629861116409302,,,
77,,1169,,,0.8161458373069763,,0.46061480045318604,,,
78,,1184,,,0.8223958611488342,,0.4726046621799469,,,
79,0.004095979500561953,1199,,,,0.84375,,0.4501345157623291,,
79,,1199,0.787872314453125,0.44342464208602905,,,,,0.875,0.2918475270271301
79,,1199,,,0.824999988079071,,0.44752922654151917,,,
80,,1214,,,0.8302083611488342,,0.43772631883621216,,,
81,,1229,,,0.8494791388511658,,0.42503225803375244,,,
82,,1244,,,0.8567708134651184,,0.42307689785957336,,,
83,0.003972003702074289,1249,,,,0.875,,0.43186450004577637,,
83,,1249,0.82232666015625,0.39010342955589294,,,,,0.9449999928474426,0.19555874168872833
83,,1259,,,0.8682291507720947,,0.4124905467033386,,,
84,,1274,,,0.871874988079071,,0.4020088315010071,,,
85,,1289,,,0.8614583611488342,,0.41373032331466675,,,
86,0.0038422185461968184,1299,,,,0.765625,,0.532195508480072,,
86,,1299,0.8065185546875,0.4092625677585602,,,,,0.9200000166893005,0.21149329841136932
86,,1304,,,0.8619791865348816,,0.4039073586463928,,,
87,,1319,,,0.8661458492279053,,0.406069815158844,,,
88,,1334,,,0.8541666865348816,,0.4164162278175354,,,
89,0.003707136260345578,1349,,,,0.78125,,0.5149771571159363,,
89,,1349,0.796539306640625,0.4313896596431732,,,,,0.9100000262260437,0.22722502052783966
89,,1349,,,0.8671875,,0.4113822281360626,,,
90,,1364,,,0.8666666746139526,,0.4113624691963196,,,
91,,1379,,,0.8588541746139526,,0.42197945713996887,,,
92,,1394,,,0.8812500238418579,,0.3920483887195587,,,
93,0.003567290026694536,1399,,,,0.953125,,0.3223968744277954,,
93,,1399,0.7913818359375,0.439938485622406,,,,,0.8999999761581421,0.22190400958061218
93,,1409,,,0.8692708611488342,,0.40419232845306396,,,
94,,1424,,,0.8645833134651184,,0.42137792706489563,,,
95,,1439,,,0.8755208253860474,,0.39398476481437683,,,
96,0.003423231653869152,1449,,,,0.859375,,0.4313940405845642,,
96,,1449,0.810455322265625,0.42049601674079895,,,,,0.9399999976158142,0.1610448956489563
96,,1454,,,0.864062488079071,,0.41238197684288025,,,
97,,1469,,,0.8578125238418579,,0.41091734170913696,,,
98,,1484,,,0.8729166388511658,,0.3862573206424713,,,
