epoch,lr,step,test_acc,test_acc_top5,test_ece,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_ece_epoch,train_ece_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_ece,val_loss
0,,14,,,,,0.09322916716337204,,0.23906250298023224,,0.06668329983949661,,3.757699728012085,,,,,
1,,29,,,,,0.20937499403953552,,0.4755208194255829,,0.17665892839431763,,3.6200156211853027,,,,,
2,,44,,,,,0.27135416865348816,,0.5479166507720947,,0.23161987960338593,,3.485614776611328,,,,,
3,0.21559999883174896,49,,,,,,0.296875,,0.609375,,0.24877095222473145,,3.374115467071533,,,,
3,,49,0.2790178656578064,0.5648449063301086,0.2301306128501892,3.352424144744873,,,,,,,,,0.4000000059604645,0.675000011920929,0.3490491509437561,3.238693952560425
3,,59,,,,,0.30416667461395264,,0.5854166746139526,,0.2562929689884186,,3.361064910888672,,,,,
4,,74,,,,,0.32083332538604736,,0.6276041865348816,,0.265479177236557,,3.257882833480835,,,,,
5,,89,,,,,0.3411458432674408,,0.6723958253860474,,0.2775057852268219,,3.15911865234375,,,,,
6,0.43560001254081726,99,,,,,,0.28125,,0.609375,,0.21397249400615692,,3.1647377014160156,,,,
6,,99,0.3539186418056488,0.7018623948097229,0.2765212059020996,2.9942312240600586,,,,,,,,,0.5099999904632568,0.8100000023841858,0.42522621154785156,2.8147270679473877
6,,104,,,,,0.3578124940395355,,0.6661458611488342,,0.28494301438331604,,3.0720179080963135,,,,,
7,,119,,,,,0.36406248807907104,,0.6885416507720947,,0.28438302874565125,,2.9963064193725586,,,,,
8,,134,,,,,0.3843750059604645,,0.7124999761581421,,0.29512736201286316,,2.92600154876709,,,,,
9,0.6556000113487244,149,,,,,,0.53125,,0.75,,0.43506303429603577,,2.8133957386016846,,,,
9,,149,0.4041080176830292,0.7662337422370911,0.2960963845252991,2.721723794937134,,,,,,,,,0.5550000071525574,0.8899999856948853,0.4300711750984192,2.487602710723877
9,,149,,,,,0.421875,,0.7427083253860474,,0.32631146907806396,,2.844330310821533,,,,,
10,,164,,,,,0.4567708373069763,,0.770312488079071,,0.3515436053276062,,2.7472894191741943,,,,,
11,,179,,,,,0.45885416865348816,,0.753125011920929,,0.3457176089286804,,2.7057690620422363,,,,,
12,,194,,,,,0.4416666626930237,,0.7593749761581421,,0.32122787833213806,,2.663189649581909,,,,,
13,0.8755999803543091,199,,,,,,0.421875,,0.8125,,0.2858711779117584,,2.5574564933776855,,,,
13,,199,0.4517045319080353,0.8034361004829407,0.31290289759635925,2.4989984035491943,,,,,,,,,0.625,0.8949999809265137,0.45918914675712585,2.222728729248047
13,,209,,,,,0.4677083194255829,,0.7708333134651184,,0.3401966392993927,,2.56929087638855,,,,,
14,,224,,,,,0.47187501192092896,,0.7869791388511658,,0.33232784271240234,,2.5436148643493652,,,,,
15,,239,,,,,0.5104166865348816,,0.7875000238418579,,0.3637920618057251,,2.466169834136963,,,,,
16,1.0956000089645386,249,,,,,,0.421875,,0.75,,0.26518210768699646,,2.498687744140625,,,,
16,,249,0.49163511395454407,0.8238862156867981,0.3241528272628784,2.3223867416381836,,,,,,,,,0.6600000262260437,0.9100000262260437,0.4560128152370453,2.018183946609497
16,,254,,,,,0.4869791567325592,,0.793749988079071,,0.33908405900001526,,2.4597105979919434,,,,,
17,,269,,,,,0.5229166746139526,,0.8151041865348816,,0.36002370715141296,,2.381701707839966,,,,,
18,,284,,,,,0.5052083134651184,,0.800000011920929,,0.33591052889823914,,2.3563852310180664,,,,,
19,1.315600037574768,299,,,,,,0.4375,,0.703125,,0.2830725312232971,,2.5620713233947754,,,,
19,,299,0.5241928100585938,0.8483946919441223,0.3247447907924652,2.157667875289917,,,,,,,,,0.675000011920929,0.9449999928474426,0.43201878666877747,1.8281611204147339
19,,299,,,,,0.535937488079071,,0.8166666626930237,,0.35528767108917236,,2.2783586978912354,,,,,
20,,314,,,,,0.5291666388511658,,0.8218749761581421,,0.34361493587493896,,2.251976251602173,,,,,
21,,329,,,,,0.5385416746139526,,0.8239583373069763,,0.34109222888946533,,2.2177515029907227,,,,,
22,,344,,,,,0.574999988079071,,0.848437488079071,,0.3639044761657715,,2.1127710342407227,,,,,
23,1.535599946975708,349,,,,,,0.5,,0.8125,,0.26677754521369934,,2.0658984184265137,,,,
23,,349,0.5765241980552673,0.8884830474853516,0.3314935266971588,1.9252573251724243,,,,,,,,,0.7549999952316284,0.9750000238418579,0.4509510099887848,1.5565011501312256
23,,359,,,,,0.5760416388511658,,0.8338541388511658,,0.35136687755584717,,2.0613503456115723,,,,,
24,,374,,,,,0.6000000238418579,,0.871874988079071,,0.35156387090682983,,1.9481548070907593,,,,,
25,,389,,,,,0.620312511920929,,0.8791666626930237,,0.35755905508995056,,1.860072374343872,,,,,
26,1.7555999755859375,399,,,,,,0.53125,,0.90625,,0.2659914493560791,,1.8329105377197266,,,,
26,,399,0.6255636811256409,0.9126307964324951,0.3306078314781189,1.7083557844161987,,,,,,,,,0.7950000166893005,0.9850000143051147,0.4241293668746948,1.3129608631134033
26,,404,,,,,0.6223958134651184,,0.8833333253860474,,0.34505221247673035,,1.7944985628128052,,,,,
27,,419,,,,,0.6322916746139526,,0.8916666507720947,,0.3429976999759674,,1.7578041553497314,,,,,
28,,434,,,,,0.6286458373069763,,0.8895833492279053,,0.3357390761375427,,1.7428470849990845,,,,,
29,1.975600004196167,449,,,,,,0.53125,,0.875,,0.26980775594711304,,1.830802321434021,,,,
29,,449,0.6631042957305908,0.9304202795028687,0.3197398781776428,1.5207476615905762,,,,,,,,,0.8149999976158142,0.9800000190734863,0.3887048661708832,1.1253445148468018
29,,449,,,,,0.6494791507720947,,0.901562511920929,,0.33612707257270813,,1.6455596685409546,,,,,
30,,464,,,,,0.6635416746139526,,0.9052083492279053,,0.33240559697151184,,1.5914757251739502,,,,,
31,,479,,,,,0.682812511920929,,0.910937488079071,,0.3341713845729828,,1.5136183500289917,,,,,
32,,494,,,,,0.6854166388511658,,0.9052083492279053,,0.32178232073783875,,1.500569462776184,,,,,
33,2.1956000328063965,499,,,,,,0.640625,,0.875,,0.28285500407218933,,1.5882165431976318,,,,
33,,499,0.71254962682724,0.944512128829956,0.31875982880592346,1.3378722667694092,,,,,,,,,0.8399999737739563,0.9950000047683716,0.34736713767051697,0.9333708882331848
33,,509,,,,,0.6880208253860474,,0.9244791865348816,,0.3109986484050751,,1.4179977178573608,,,,,
34,,524,,,,,0.7151041626930237,,0.918749988079071,,0.3234691023826599,,1.3940151929855347,,,,,
35,,539,,,,,0.7124999761581421,,0.9322916865348816,,0.3183143734931946,,1.3620219230651855,,,,,
36,2.1979153156280518,549,,,,,,0.65625,,0.953125,,0.3224879503250122,,1.5148584842681885,,,,
36,,549,0.7183892726898193,0.9455718398094177,0.2916567921638489,1.2435230016708374,,,,,,,,,0.8450000286102295,0.9950000047683716,0.3211500644683838,0.8232734799385071
36,,554,,,,,0.699999988079071,,0.918749988079071,,0.2933533489704132,,1.3522021770477295,,,,,
37,,569,,,,,0.7302083373069763,,0.9239583611488342,,0.3055820167064667,,1.2739533185958862,,,,,
38,,584,,,,,0.746874988079071,,0.9401041865348816,,0.30737707018852234,,1.2090035676956177,,,,,
39,2.1914985179901123,599,,,,,,0.71875,,0.921875,,0.2554759383201599,,1.2447750568389893,,,,
39,,599,0.7443632483482361,0.9540945291519165,0.27798759937286377,1.125197410583496,,,,,,,,,0.8849999904632568,0.9950000047683716,0.3023820221424103,0.7078930139541626
39,,599,,,,,0.7458333373069763,,0.9401041865348816,,0.2928783595561981,,1.1908060312271118,,,,,
40,,614,,,,,0.7567708492279053,,0.9427083134651184,,0.29589128494262695,,1.154295802116394,,,,,
41,,629,,,,,0.745312511920929,,0.9390624761581421,,0.2854033410549164,,1.169379711151123,,,,,
42,,644,,,,,0.7515624761581421,,0.9411458373069763,,0.28157997131347656,,1.147823452949524,,,,,
43,2.180774211883545,649,,,,,,0.8125,,0.953125,,0.3060207664966583,,1.0109212398529053,,,,
43,,649,0.7634153962135315,0.9611968398094177,0.2562998831272125,1.0150508880615234,,,,,,,,,0.8899999856948853,1.0,0.27230104804039,0.6029001474380493
43,,659,,,,,0.7739583253860474,,0.9395833611488342,,0.29145699739456177,,1.1016929149627686,,,,,
44,,674,,,,,0.7588541507720947,,0.9463541507720947,,0.26847562193870544,,1.0835986137390137,,,,,
45,,689,,,,,0.7671874761581421,,0.9526041746139526,,0.2600204050540924,,1.019835352897644,,,,,
46,2.1657843589782715,699,,,,,,0.796875,,0.96875,,0.2650033235549927,,0.9902006983757019,,,,
46,,699,0.7851280570030212,0.9683441519737244,0.23066571354866028,0.8945009112358093,,,,,,,,,0.925000011920929,1.0,0.24332638084888458,0.47917497158050537
46,,704,,,,,0.770312488079071,,0.9468749761581421,,0.2435527741909027,,0.9958084225654602,,,,,
47,,719,,,,,0.8057291507720947,,0.9546874761581421,,0.25835981965065,,0.9222968816757202,,,,,
48,,734,,,,,0.8098958134651184,,0.9479166865348816,,0.24327775835990906,,0.8735358119010925,,,,,
49,2.1465885639190674,749,,,,,,0.734375,,0.953125,,0.16389629244804382,,0.9538954496383667,,,,
49,,749,0.8020156621932983,0.9716134667396545,0.19635961949825287,0.7896302342414856,,,,,,,,,0.9350000023841858,1.0,0.19213084876537323,0.37069201469421387
49,,749,,,,,0.7963541746139526,,0.9536458253860474,,0.220316082239151,,0.8683083057403564,,,,,
50,,764,,,,,0.7911458611488342,,0.9505208134651184,,0.2140694558620453,,0.8743489384651184,,,,,
51,,779,,,,,0.8036458492279053,,0.9609375,,0.20098449289798737,,0.8174854516983032,,,,,
52,,794,,,,,0.8322916626930237,,0.9645833373069763,,0.21917016804218292,,0.744081437587738,,,,,
53,2.1232621669769287,799,,,,,,0.796875,,0.9375,,0.17050588130950928,,0.7558276653289795,,,,
53,,799,0.8072690963745117,0.9750180244445801,0.1736069619655609,0.7263928651809692,,,,,,,,,0.9599999785423279,1.0,0.17647422850131989,0.2903798818588257
