epoch,lr,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,,14,,,0.703125,,1.174728512763977,,,
1,,29,,,0.7364583611488342,,0.874674379825592,,,
2,,44,,,0.7385416626930237,,0.8631924986839294,,,
3,0.00029399999766610563,49,,,,0.65625,,0.9884301424026489,,
3,,49,0.7359333038330078,0.8549635410308838,,,,,0.7300000190734863,0.8420113921165466
3,,59,,,0.7354166507720947,,0.8651520013809204,,,
4,,74,,,0.731249988079071,,0.8676316738128662,,,
5,,89,,,0.7291666865348816,,0.8602657914161682,,,
6,0.0005939999828115106,99,,,,0.765625,,0.7824389934539795,,
6,,99,0.7359333038330078,0.8346417546272278,,,,,0.7300000190734863,0.8043962717056274
6,,104,,,0.7333333492279053,,0.8567916750907898,,,
7,,119,,,0.731249988079071,,0.8496354818344116,,,
8,,134,,,0.734375,,0.8434510827064514,,,
9,0.000893999997060746,149,,,,0.71875,,0.8544931411743164,,
9,,149,0.7357693314552307,0.8287873268127441,,,,,0.7300000190734863,0.7857437133789062
9,,149,,,0.7333333492279053,,0.8279446959495544,,,
10,,164,,,0.7369791865348816,,0.8257893919944763,,,
11,,179,,,0.734375,,0.8387435078620911,,,
12,,194,,,0.7338541746139526,,0.8282431960105896,,,
13,0.0011940000113099813,199,,,,0.75,,0.8122209310531616,,
13,,199,0.736846923828125,0.8141720294952393,,,,,0.7300000190734863,0.7551019191741943
13,,209,,,0.7286458611488342,,0.8266466856002808,,,
14,,224,,,0.7369791865348816,,0.8160651922225952,,,
15,,239,,,0.7494791746139526,,0.7879467606544495,,,
16,0.0014939999673515558,249,,,,0.8125,,0.6314769983291626,,
16,,249,0.7406184673309326,0.7856194376945496,,,,,0.7350000143051147,0.7071260213851929
16,,254,,,0.7401041388511658,,0.7933423519134521,,,
17,,269,,,0.745312511920929,,0.7825649380683899,,,
18,,284,,,0.7411458492279053,,0.8016191124916077,,,
19,0.0017940000398084521,299,,,,0.6875,,0.81581711769104,,
19,,299,0.7467978000640869,0.762165367603302,,,,,0.7749999761581421,0.6603275537490845
19,,299,,,0.7427083253860474,,0.7775048613548279,,,
20,,314,,,0.746874988079071,,0.771793007850647,,,
21,,329,,,0.754687488079071,,0.7583853602409363,,,
22,,344,,,0.7484375238418579,,0.7646726965904236,,,
23,0.0020940001122653484,349,,,,0.765625,,0.7969309687614441,,
23,,349,0.7450265884399414,0.7524200081825256,,,,,0.7749999761581421,0.6163738965988159
23,,359,,,0.7505208253860474,,0.7583491802215576,,,
24,,374,,,0.7458333373069763,,0.7815216183662415,,,
25,,389,,,0.7479166388511658,,0.7499008774757385,,,
26,0.002394000068306923,399,,,,0.65625,,0.9505972266197205,,
26,,399,0.7495620250701904,0.7500514984130859,,,,,0.7549999952316284,0.6040929555892944
26,,404,,,0.7458333373069763,,0.7541511654853821,,,
27,,419,,,0.7489583492279053,,0.7608934640884399,,,
28,,434,,,0.7598958611488342,,0.718108594417572,,,
29,0.0026940000243484974,449,,,,0.8125,,0.6170461177825928,,
29,,449,0.7537878155708313,0.7474743723869324,,,,,0.7900000214576721,0.5756330490112305
29,,449,,,0.75,,0.723434567451477,,,
30,,464,,,0.7562500238418579,,0.7073682546615601,,,
31,,479,,,0.7614583373069763,,0.7194899320602417,,,
32,,494,,,0.7593749761581421,,0.7130665183067322,,,
33,0.002993999980390072,499,,,,0.71875,,0.6651853322982788,,
33,,499,0.75010085105896,0.7440345883369446,,,,,0.8100000023841858,0.5250367522239685
33,,509,,,0.765625,,0.6926947832107544,,,
34,,524,,,0.7651041746139526,,0.7186649441719055,,,
35,,539,,,0.7614583373069763,,0.7116379141807556,,,
36,0.0029971571639180183,549,,,,0.828125,,0.6842188239097595,,
36,,549,0.7567018270492554,0.7436774969100952,,,,,0.7950000166893005,0.49850529432296753
36,,554,,,0.7749999761581421,,0.679084837436676,,,
37,,569,,,0.7640625238418579,,0.6924696564674377,,,
38,,584,,,0.7718750238418579,,0.6814652681350708,,,
39,0.0029884071554988623,599,,,,0.78125,,0.5911486744880676,,
39,,599,0.759958028793335,0.7697943449020386,,,,,0.8299999833106995,0.45901432633399963
39,,599,,,0.7749999761581421,,0.642320990562439,,,
40,,614,,,0.7734375,,0.6690214276313782,,,
41,,629,,,0.7739583253860474,,0.6655545830726624,,,
42,,644,,,0.7744791507720947,,0.6645774841308594,,,
43,0.002973782829940319,649,,,,0.78125,,0.7053458094596863,,
43,,649,0.7626662254333496,0.773114025592804,,,,,0.8349999785423279,0.46662071347236633
43,,659,,,0.7796875238418579,,0.6647560000419617,,,
44,,674,,,0.785937488079071,,0.6354855895042419,,,
45,,689,,,0.7817708253860474,,0.643324613571167,,,
46,0.002953342394903302,699,,,,0.765625,,0.7242838144302368,,
46,,699,0.7110266089439392,0.8353366851806641,,,,,0.8299999833106995,0.46774864196777344
46,,704,,,0.796875,,0.5978837609291077,,,
47,,719,,,0.7848958373069763,,0.6540725231170654,,,
48,,734,,,0.7890625,,0.6370822787284851,,,
49,0.0029271661769598722,749,,,,0.765625,,0.7010010480880737,,
49,,749,0.7493512034416199,0.8020715117454529,,,,,0.8799999952316284,0.4085359275341034
49,,749,,,0.7875000238418579,,0.6362794637680054,,,
50,,764,,,0.7807291746139526,,0.6527739763259888,,,
51,,779,,,0.7848958373069763,,0.6339071393013,,,
52,,794,,,0.7833333611488342,,0.6252851486206055,,,
53,0.0028953575529158115,799,,,,0.75,,0.6663686037063599,,
53,,799,0.7591289281845093,0.7888619899749756,,,,,0.875,0.3771544396877289
53,,809,,,0.8135416507720947,,0.5776001811027527,,,
54,,824,,,0.809374988079071,,0.5868285894393921,,,
55,,839,,,0.807812511920929,,0.5681283473968506,,,
56,0.0028580420184880495,849,,,,0.71875,,0.7453408241271973,,
56,,849,0.7590871453285217,0.8083972930908203,,,,,0.8949999809265137,0.3116730749607086
56,,854,,,0.8067708611488342,,0.5938632488250732,,,
57,,869,,,0.8041666746139526,,0.5875740647315979,,,
58,,884,,,0.801562488079071,,0.5721422433853149,,,
59,0.002815366955474019,899,,,,0.875,,0.4956713318824768,,
59,,899,0.736677885055542,0.8336108326911926,,,,,0.9300000071525574,0.29278793931007385
59,,899,,,0.8145833611488342,,0.5552477240562439,,,
60,,914,,,0.817187488079071,,0.5431042909622192,,,
61,,929,,,0.8104166388511658,,0.5606170892715454,,,
62,,944,,,0.8307291865348816,,0.5322716236114502,,,
63,0.0027675009332597256,949,,,,0.78125,,0.6179531812667847,,
