epoch,lr,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,,14,,,0.07187499850988388,,2.8801372051239014,,,
1,,29,,,0.17343750596046448,,2.7713780403137207,,,
2,,44,,,0.2135416716337204,,2.692732810974121,,,
3,0.00013719999697059393,49,,,,0.234375,,2.6458945274353027,,
3,,49,0.09499268978834152,2.831359624862671,,,,,0.23000000417232513,2.6413161754608154
3,,59,,,0.24270834028720856,,2.6262784004211426,,,
4,,74,,,0.28125,,2.557219982147217,,,
5,,89,,,0.30416667461395264,,2.4847071170806885,,,
6,0.00027719998615793884,99,,,,0.375,,2.3527379035949707,,
6,,99,0.11722709238529205,2.7600531578063965,,,,,0.3449999988079071,2.386085271835327
6,,104,,,0.3453125059604645,,2.4049975872039795,,,
7,,119,,,0.37812501192092896,,2.326847791671753,,,
8,,134,,,0.4203124940395355,,2.237527370452881,,,
9,0.0004172000044491142,149,,,,0.375,,2.231602191925049,,
9,,149,0.14318348467350006,2.6707992553710938,,,,,0.4449999928474426,2.105970859527588
9,,149,,,0.4453125,,2.1443305015563965,,,
10,,164,,,0.4817708432674408,,2.065093517303467,,,
11,,179,,,0.47083333134651184,,1.9992291927337646,,,
12,,194,,,0.5244791507720947,,1.8994466066360474,,,
13,0.0005571999936364591,199,,,,0.59375,,1.7615039348602295,,
13,,199,0.1608126163482666,2.6041762828826904,,,,,0.5550000071525574,1.8210999965667725
13,,209,,,0.5776041746139526,,1.797035574913025,,,
14,,224,,,0.574999988079071,,1.6953753232955933,,,
15,,239,,,0.6421874761581421,,1.5891298055648804,,,
16,0.0006972000119276345,249,,,,0.625,,1.529857873916626,,
16,,249,0.17845699191093445,2.535792350769043,,,,,0.6449999809265137,1.5042451620101929
16,,254,,,0.6614583134651184,,1.495615005493164,,,
17,,269,,,0.6901041865348816,,1.4045906066894531,,,
18,,284,,,0.7317708134651184,,1.2890111207962036,,,
19,0.0008371999720111489,299,,,,0.71875,,1.202747106552124,,
19,,299,0.20646320283412933,2.5016024112701416,,,,,0.7900000214576721,1.1384245157241821
19,,299,,,0.7494791746139526,,1.1847141981124878,,,
20,,314,,,0.796875,,1.0729337930679321,,,
21,,329,,,0.8343750238418579,,0.9689674973487854,,,
22,,344,,,0.862500011920929,,0.8800409436225891,,,
23,0.0009771999903023243,349,,,,0.84375,,0.8644311428070068,,
23,,349,0.22100390493869781,2.5140674114227295,,,,,0.875,0.8153815269470215
23,,359,,,0.8744791746139526,,0.8026902079582214,,,
24,,374,,,0.9005208611488342,,0.7249319553375244,,,
25,,389,,,0.9322916865348816,,0.6293964385986328,,,
26,0.0011172000085934997,399,,,,0.953125,,0.5312460064888,,
26,,399,0.24197429418563843,2.524843454360962,,,,,0.9649999737739563,0.5175186395645142
26,,404,,,0.9427083134651184,,0.5607542395591736,,,
27,,419,,,0.964062511920929,,0.48751962184906006,,,
28,,434,,,0.9729166626930237,,0.4291220009326935,,,
29,0.001257200026884675,449,,,,0.984375,,0.3501390814781189,,
29,,449,0.2562682628631592,2.59474515914917,,,,,0.9750000238418579,0.33252131938934326
29,,449,,,0.979687511920929,,0.3783482611179352,,,
30,,464,,,0.989062488079071,,0.32312437891960144,,,
31,,479,,,0.989062488079071,,0.2874505817890167,,,
32,,494,,,0.9906250238418579,,0.2603571116924286,,,
33,0.0013972000451758504,499,,,,0.984375,,0.26151609420776367,,
33,,499,0.26120248436927795,2.690706253051758,,,,,0.9950000047683716,0.20889486372470856
33,,509,,,0.9937499761581421,,0.22705616056919098,,,
34,,524,,,0.9927083253860474,,0.20176313817501068,,,
35,,539,,,0.9947916865348816,,0.17212054133415222,,,
36,0.001398673397488892,549,,,,1.0,,0.12563800811767578,,
36,,549,0.26903021335601807,2.7949142456054688,,,,,0.9950000047683716,0.12625229358673096
36,,554,,,0.9958333373069763,,0.15309719741344452,,,
37,,569,,,0.9958333373069763,,0.13579782843589783,,,
38,,584,,,0.9979166388511658,,0.12370049208402634,,,
39,0.0013945900136604905,599,,,,1.0,,0.11150848120450974,,
39,,599,0.2678575813770294,2.9217255115509033,,,,,1.0,0.09456802159547806
39,,599,,,0.9979166388511658,,0.11372892558574677,,,
40,,614,,,0.9979166388511658,,0.10215801745653152,,,
41,,629,,,0.9994791746139526,,0.09155449271202087,,,
42,,644,,,1.0,,0.07855721563100815,,,
43,0.0013877653982490301,649,,,,1.0,,0.0573943629860878,,
43,,649,0.27409234642982483,2.9602911472320557,,,,,1.0,0.05369306728243828
43,,659,,,1.0,,0.06920770555734634,,,
44,,674,,,1.0,,0.06052374094724655,,,
45,,689,,,1.0,,0.055009305477142334,,,
46,0.001378226443193853,699,,,,1.0,,0.043713271617889404,,
46,,699,0.2775615155696869,3.0436697006225586,,,,,1.0,0.0356086790561676
46,,704,,,1.0,,0.05107295140624046,,,
47,,719,,,1.0,,0.0464375838637352,,,
48,,734,,,1.0,,0.04487567022442818,,,
49,0.0013660108670592308,749,,,,1.0,,0.042215898633003235,,
49,,749,0.2816733717918396,3.1204419136047363,,,,,1.0,0.026776401326060295
